"Year","Achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","980","920","0.937","0"
"2018","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","945","900","0.9510000000000001","0"
"2019","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1130","1080","0.9540000000000001","0"
"2020","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","775","760","0.976","0"
"2021","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","520","495","0.9520000000000001","0"
"2022","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","790","735","0.932","0"
"2023","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1085","1010","0.934","0"
"2010","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","805","725","0.896","0"
"2011","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1025","940","0.917","0"
"2012","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","840","775","0.921","0"
"2013","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","885","820","0.926","0"
"2014","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1030","960","0.929","0"
"2015","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1035","975","0.9420000000000001","0"
"2016","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1170","1090","0.934","0"
"2017","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1205","1135","0.9400000000000001","0"
"2018","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1170","1090","0.931","0"
"2019","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1325","1285","0.968","0"
"2020","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1000","960","0.96","0"
"2021","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","725","695","0.9590000000000001","0"
"2022","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","955","910","0.9550000000000001","0"
"2023","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1250","1180","0.9440000000000001","0"
"2010","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","815","750","0.923","0"
"2011","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","1015","925","0.912","0"
"2012","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","990","935","0.9430000000000001","0"
"2013","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","890","825","0.927","0"
