"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","England","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","England","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Scotland","35 and over","Not EU","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","18","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Northern Ireland","18","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","19","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","England","19","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","England","19","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","England","20","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","England","20","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","England","21 - 24","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","England","21 - 24","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","35 and over","EU (excluding UK)","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","England","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","England","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","England","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","England","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","England","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","19","England","Male","Not main scheme applicant","Not main scheme application","15","10"," "
"2021","England","19","England","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","England","19","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.8"
"2023","England","19","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.882"
"2019","England","20","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.846"
"2020","England","20","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2021","England","20","England","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","England","20","England","Male","Not main scheme applicant","Not main scheme application","10","10","0.833"
"2023","England","20","England","Male","Not main scheme applicant","Not main scheme application","15","10"," "
"2019","England","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","35","30","0.811"
"2020","England","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","55","50","0.911"
"2021","England","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","25","20","0.846"
"2022","England","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","45","30","0.66"
"2023","England","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","65","50","0.742"
"2019","England","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","45","40","0.909"
"2020","England","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","85","70","0.8160000000000001"
"2021","England","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","40","35","0.875"
"2022","England","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","55","50","0.891"
"2023","England","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","55","35","0.649"
"2019","England","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","40","35","0.857"
"2020","England","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","70","50","0.725"
"2021","England","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","40","30","0.763"
"2022","England","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","40","30","0.8160000000000001"
"2023","England","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","55","40","0.667"
