"Year","Subject group HECoS","Detailed subject group HECoS","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Wales","All","1405","1000","0.712"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Wales","All","720","395","0.548"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Wales","All","635","340","0.532"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Wales","All","720","440","0.614"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Wales","All","825","475","0.578"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Wales","All","825","505","0.611"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Wales","All","1595","660","0.41300000000000003"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Wales","All","1450","700","0.481"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Wales","All","1450","695","0.47900000000000004"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Wales","All","1445","650","0.449"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Wales","All","1545","745","0.481"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Wales","All","205","90","0.443"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Wales","All","160","70","0.422"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Wales","All","255","110","0.427"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Wales","All","250","100","0.394"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Wales","All","180","60","0.336"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Wales","All","190","85","0.436"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Wales","All","90","50","0.5670000000000001"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Wales","All","55","40","0.727"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Wales","All","55","40","0.748"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Wales","All","75","50","0.672"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Wales","All","150","105","0.7000000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Wales","All","95","75","0.771"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Wales","All","170","130","0.771"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Wales","All","175","115","0.661"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Wales","All","150","100","0.66"
