"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","UK","Wales","Wales","19","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Wales","Wales","19","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","20","Female","Main scheme applicant","Not main scheme application","25","15","0.538","0"
"2020","UK","England","England","20","Female","Main scheme applicant","Not main scheme application","25","15","0.609","0"
"2021","UK","England","England","20","Female","Main scheme applicant","Not main scheme application","25","5"," ","0"
"2022","UK","England","England","20","Female","Main scheme applicant","Not main scheme application","20","10"," ","0"
"2023","UK","England","England","20","Female","Main scheme applicant","Not main scheme application","35","20","0.595","0"
"2022","UK","Northern Ireland","Northern Ireland","20","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","20","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","UK","Scotland","Scotland","20","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","Wales","Wales","20","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","International","EU (excluding UK)","Ireland","20","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","21 - 24","Female","Main scheme applicant","Not main scheme application","65","30","0.46900000000000003","0"
"2020","UK","England","England","21 - 24","Female","Main scheme applicant","Not main scheme application","35","20","0.559","0"
"2021","UK","England","England","21 - 24","Female","Main scheme applicant","Not main scheme application","50","25","0.47100000000000003","0"
"2022","UK","England","England","21 - 24","Female","Main scheme applicant","Not main scheme application","60","20","0.339","0"
"2023","UK","England","England","21 - 24","Female","Main scheme applicant","Not main scheme application","45","20","0.5","0"
"2019","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","International","EU (excluding UK)","Ireland","21 - 24","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","25 - 29","Female","Main scheme applicant","Not main scheme application","55","30","0.582","0"
"2020","UK","England","England","25 - 29","Female","Main scheme applicant","Not main scheme application","30","20","0.656","0"
"2021","UK","England","England","25 - 29","Female","Main scheme applicant","Not main scheme application","35","15","0.424","0"
