"Year","Difference between predicted and achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","All","Black","All","All","10","5"," ","0"
"2019","All","Black","All","All","15","10"," ","0"
"2020","All","Black","All","All","15","15","1","0"
"2021","All","Black","All","All","20","15","0.85","0"
"2022","All","Black","All","All","25","20","0.76","0"
"2023","All","Black","All","All","25","10","0.458","0"
"2010","All","Asian","All","All","30","20","0.724","0"
"2011","All","Asian","All","All","40","25","0.632","0"
"2012","All","Asian","All","All","45","25","0.605","0"
"2013","All","Asian","All","All","40","25","0.684","0"
"2014","All","Asian","All","All","50","30","0.646","0"
"2015","All","Asian","All","All","55","30","0.593","0"
"2016","All","Asian","All","All","50","30","0.6","0"
"2017","All","Asian","All","All","30","20","0.581","0"
"2018","All","Asian","All","All","55","45","0.8250000000000001","0"
"2019","All","Asian","All","All","30","20","0.6880000000000001","0"
"2020","All","Asian","All","All","55","40","0.759","0"
"2021","All","Asian","All","All","40","30","0.75","0"
"2022","All","Asian","All","All","50","35","0.654","0"
"2023","All","Asian","All","All","55","40","0.75","0"
"2010","All","Mixed","All","All","5","5"," ","0"
"2011","All","Mixed","All","All","5","5"," ","0"
"2012","All","Mixed","All","All","10","5"," ","0"
"2013","All","Mixed","All","All","5","5"," ","0"
"2014","All","Mixed","All","All","10","5"," ","0"
"2015","All","Mixed","All","All","10","5"," ","0"
"2016","All","Mixed","All","All","5","5"," ","0"
"2017","All","Mixed","All","All","10","10"," ","0"
"2018","All","Mixed","All","All","10","5"," ","0"
"2019","All","Mixed","All","All","10","5"," ","0"
"2020","All","Mixed","All","All","15","15","0.8240000000000001","0"
"2021","All","Mixed","All","All","15","10","0.714","0"
"2022","All","Mixed","All","All","15","10","0.923","0"
"2023","All","Mixed","All","All","15","10","0.733","0"
"2014","All","Other","All","All","5","5"," ","0"
"2015","All","Other","All","All","10","5"," ","0"
"2016","All","Other","All","All","10","0"," ","0"
"2017","All","Other","All","All","5","0"," ","0"
"2018","All","Other","All","All","5","5"," ","0"
"2019","All","Other","All","All","10","5"," ","0"
"2020","All","Other","All","All","15","10","0.714","0"
"2021","All","Other","All","All","15","10","0.6880000000000001","0"
"2023","All","Other","All","All","20","15","0.737","0"
"2010","All","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2012","All","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2013","All","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2016","All","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2018","All","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2020","All","Unknown or Prefer Not To Say","All","All","5","5"," ","0"
"2021","All","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2023","All","Unknown or Prefer Not To Say","All","All","5","0"," ","0"
"2010","0 points","All","All","All","40","35","0.854","0"
"2011","0 points","All","All","All","35","20","0.667","0"
"2012","0 points","All","All","All","40","35","0.786","0"
"2013","0 points","All","All","All","50","35","0.755","0"
"2014","0 points","All","All","All","50","40","0.731","0"
"2015","0 points","All","All","All","60","40","0.661","0"
"2016","0 points","All","All","All","50","40","0.75","0"
"2017","0 points","All","All","All","45","40","0.884","0"
"2018","0 points","All","All","All","55","40","0.727","0"
"2019","0 points","All","All","All","35","35","0.972","0"
"2020","0 points","All","All","All","95","80","0.839","0"
"2021","0 points","All","All","All","80","75","0.901","0"
"2022","0 points","All","All","All","55","40","0.778","0"
"2023","0 points","All","All","All","55","45","0.754","0"
"2010","1 points","All","All","All","30","25","0.767","0"
"2011","1 points","All","All","All","40","25","0.667","0"
"2012","1 points","All","All","All","50","35","0.75","0"
"2013","1 points","All","All","All","30","20","0.6900000000000001","0"
"2014","1 points","All","All","All","45","40","0.809","0"
"2015","1 points","All","All","All","45","35","0.86","0"
"2016","1 points","All","All","All","25","25","0.923","0"
"2017","1 points","All","All","All","35","25","0.8180000000000001","0"
"2018","1 points","All","All","All","30","25","0.897","0"
"2019","1 points","All","All","All","15","15","0.882","0"
"2020","1 points","All","All","All","45","40","0.913","0"
"2021","1 points","All","All","All","50","40","0.796","0"
"2022","1 points","All","All","All","20","15","0.714","0"
"2023","1 points","All","All","All","35","25","0.788","0"
"2010","2 points","All","All","All","20","20","0.8180000000000001","0"
"2011","2 points","All","All","All","25","20","0.808","0"
"2012","2 points","All","All","All","20","15","0.773","0"
"2013","2 points","All","All","All","30","25","0.844","0"
"2014","2 points","All","All","All","30","25","0.9","0"
"2015","2 points","All","All","All","25","20","0.846","0"
"2016","2 points","All","All","All","25","20","0.8","0"
"2017","2 points","All","All","All","30","20","0.786","0"
"2018","2 points","All","All","All","25","15","0.609","0"
"2019","2 points","All","All","All","20","15","0.762","0"
"2020","2 points","All","All","All","35","30","0.97","0"
"2021","2 points","All","All","All","40","35","0.897","0"
"2022","2 points","All","All","All","15","10"," ","0"
"2023","2 points","All","All","All","15","10","0.923","0"
"2010","3 points","All","All","All","20","15","0.895","0"
"2011","3 points","All","All","All","15","15","0.8240000000000001","0"
"2012","3 points","All","All","All","15","15","0.8130000000000001","0"
"2013","3 points","All","All","All","20","15","0.833","0"
"2014","3 points","All","All","All","10","5"," ","0"
"2015","3 points","All","All","All","10","10","1","0"
"2016","3 points","All","All","All","10","10","1","0"
"2017","3 points","All","All","All","5","5"," ","0"
"2018","3 points","All","All","All","10","5"," ","0"
"2019","3 points","All","All","All","10","10"," ","0"
"2020","3 points","All","All","All","20","20","0.8180000000000001","0"
"2021","3 points","All","All","All","25","25","0.889","0"
"2022","3 points","All","All","All","5","5"," ","0"
"2023","3 points","All","All","All","5","5"," ","0"
"2010","More than 3 points","All","All","All","15","15","0.875","0"
"2011","More than 3 points","All","All","All","15","10","0.857","0"
"2012","More than 3 points","All","All","All","15","15","0.867","0"
"2013","More than 3 points","All","All","All","15","15","0.929","0"
"2014","More than 3 points","All","All","All","15","15","0.875","0"
"2015","More than 3 points","All","All","All","10","10"," ","0"
"2016","More than 3 points","All","All","All","15","10","0.714","0"
"2017","More than 3 points","All","All","All","10","5"," ","0"
"2018","More than 3 points","All","All","All","10","5"," ","0"
"2019","More than 3 points","All","All","All","10","10"," ","0"
"2020","More than 3 points","All","All","All","15","15","0.875","0"
"2021","More than 3 points","All","All","All","15","15","0.9410000000000001","0"
"2022","More than 3 points","All","All","All","20","15","0.833","0"
"2023","More than 3 points","All","All","All","10","10","0.909","0"
"2010","-1 points","All","All","All","45","25","0.628","0"
"2011","-1 points","All","All","All","25","15","0.556","0"
"2012","-1 points","All","All","All","55","35","0.589","0"
"2013","-1 points","All","All","All","50","40","0.792","0"
"2014","-1 points","All","All","All","50","35","0.75","0"
"2015","-1 points","All","All","All","65","35","0.5630000000000001","0"
"2016","-1 points","All","All","All","45","35","0.8140000000000001","0"
"2017","-1 points","All","All","All","50","40","0.745","0"
"2018","-1 points","All","All","All","45","35","0.86","0"
"2019","-1 points","All","All","All","40","35","0.9","0"
"2020","-1 points","All","All","All","50","40","0.84","0"
"2021","-1 points","All","All","All","50","40","0.784","0"
"2022","-1 points","All","All","All","35","25","0.794","0"
"2023","-1 points","All","All","All","40","30","0.762","0"
"2010","-2 points","All","All","All","45","30","0.727","0"
"2011","-2 points","All","All","All","50","30","0.64","0"
"2012","-2 points","All","All","All","50","30","0.604","0"
"2013","-2 points","All","All","All","40","20","0.55","0"
"2014","-2 points","All","All","All","55","35","0.596","0"
"2015","-2 points","All","All","All","55","35","0.614","0"
"2016","-2 points","All","All","All","45","35","0.739","0"
"2017","-2 points","All","All","All","50","35","0.72","0"
"2018","-2 points","All","All","All","35","25","0.75","0"
"2019","-2 points","All","All","All","45","30","0.682","0"
"2020","-2 points","All","All","All","45","35","0.773","0"
"2021","-2 points","All","All","All","35","30","0.833","0"
"2022","-2 points","All","All","All","35","30","0.882","0"
"2023","-2 points","All","All","All","45","35","0.791","0"
"2010","-3 points","All","All","All","30","20","0.656","0"
"2011","-3 points","All","All","All","30","15","0.5710000000000001","0"
"2012","-3 points","All","All","All","45","25","0.581","0"
"2013","-3 points","All","All","All","45","25","0.522","0"
"2014","-3 points","All","All","All","65","30","0.444","0"
"2015","-3 points","All","All","All","45","25","0.511","0"
"2016","-3 points","All","All","All","45","30","0.622","0"
"2017","-3 points","All","All","All","35","25","0.622","0"
"2018","-3 points","All","All","All","40","30","0.6900000000000001","0"
"2019","-3 points","All","All","All","40","25","0.5750000000000001","0"
"2020","-3 points","All","All","All","30","15","0.433","0"
"2021","-3 points","All","All","All","25","15","0.667","0"
"2022","-3 points","All","All","All","25","15","0.593","0"
"2023","-3 points","All","All","All","30","25","0.867","0"
"2010","-4 points","All","All","All","20","15","0.591","0"
"2011","-4 points","All","All","All","25","10"," ","0"
"2012","-4 points","All","All","All","50","20","0.38","0"
"2013","-4 points","All","All","All","20","10","0.545","0"
"2014","-4 points","All","All","All","45","20","0.435","0"
"2015","-4 points","All","All","All","50","20","0.38","0"
"2016","-4 points","All","All","All","50","20","0.396","0"
"2017","-4 points","All","All","All","35","20","0.629","0"
"2018","-4 points","All","All","All","40","25","0.585","0"
"2019","-4 points","All","All","All","45","25","0.578","0"
"2020","-4 points","All","All","All","25","20","0.741","0"
"2021","-4 points","All","All","All","15","10","0.846","0"
"2022","-4 points","All","All","All","15","10","0.769","0"
"2023","-4 points","All","All","All","20","15","0.667","0"
"2010","-5 points","All","All","All","30","15","0.552","0"
"2011","-5 points","All","All","All","25","10","0.44","0"
"2012","-5 points","All","All","All","40","15","0.436","0"
"2013","-5 points","All","All","All","30","10","0.355","0"
"2014","-5 points","All","All","All","25","10"," ","0"
"2015","-5 points","All","All","All","30","15","0.419","0"
"2016","-5 points","All","All","All","30","10"," ","0"
"2017","-5 points","All","All","All","25","15","0.5650000000000001","0"
"2018","-5 points","All","All","All","45","25","0.591","0"
"2019","-5 points","All","All","All","25","10","0.48","0"
"2020","-5 points","All","All","All","15","10"," ","0"
"2021","-5 points","All","All","All","10","5"," ","0"
"2022","-5 points","All","All","All","10","10"," ","0"
"2023","-5 points","All","All","All","20","10","0.556","0"
"2010","-6 points","All","All","All","20","10"," ","0"
"2011","-6 points","All","All","All","15","5"," ","0"
"2012","-6 points","All","All","All","25","5"," ","0"
"2013","-6 points","All","All","All","20","5"," ","0"
"2014","-6 points","All","All","All","20","5"," ","0"
"2015","-6 points","All","All","All","25","5"," ","0"
"2016","-6 points","All","All","All","30","10"," ","0"
"2017","-6 points","All","All","All","25","10","0.385","0"
"2018","-6 points","All","All","All","25","10","0.47800000000000004","0"
"2019","-6 points","All","All","All","30","10","0.41400000000000003","0"
"2020","-6 points","All","All","All","10","5"," ","0"
"2021","-6 points","All","All","All","10","5"," ","0"
"2022","-6 points","All","All","All","15","5"," ","0"
"2023","-6 points","All","All","All","15","10","0.6880000000000001","0"
"2010","Less than -6 points","All","All","All","40","10"," ","0"
"2011","Less than -6 points","All","All","All","40","10"," ","0"
"2012","Less than -6 points","All","All","All","65","5"," ","0"
"2013","Less than -6 points","All","All","All","50","5"," ","0"
"2014","Less than -6 points","All","All","All","65","10"," ","0"
"2015","Less than -6 points","All","All","All","80","10","0.148","0"
"2016","Less than -6 points","All","All","All","55","10"," ","0"
"2017","Less than -6 points","All","All","All","55","10","0.182","0"
