"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","1 points","Mixed","All","Not main scheme application","20","20","0.9470000000000001","0"
"2018","1 points","Mixed","All","Not main scheme application","10","5"," ","0"
"2019","1 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2020","1 points","Mixed","All","Not main scheme application","15","15","0.9410000000000001","0"
"2021","1 points","Mixed","All","Not main scheme application","20","20","0.857","0"
"2022","1 points","Mixed","All","Not main scheme application","20","20","0.8180000000000001","0"
"2023","1 points","Mixed","All","Not main scheme application","20","20","0.9520000000000001","0"
"2011","2 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2012","2 points","Mixed","All","Not main scheme application","10","5"," ","0"
"2013","2 points","Mixed","All","Not main scheme application","10","5"," ","0"
"2014","2 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2015","2 points","Mixed","All","Not main scheme application","15","10","0.846","0"
"2016","2 points","Mixed","All","Not main scheme application","10","10","1","0"
"2017","2 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2018","2 points","Mixed","All","Not main scheme application","15","15","1","0"
"2019","2 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2020","2 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2021","2 points","Mixed","All","Not main scheme application","15","10","0.769","0"
"2022","2 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2023","2 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2012","3 points","Mixed","All","Not main scheme application","10","10","1","0"
"2013","3 points","Mixed","All","Not main scheme application","10","5"," ","0"
"2014","3 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2015","3 points","Mixed","All","Not main scheme application","10","10","0.909","0"
"2016","3 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2017","3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2020","3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2021","3 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2022","3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2023","3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2013","More than 3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2014","More than 3 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2016","More than 3 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2021","More than 3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2010","-1 points","Mixed","All","Not main scheme application","10","10","0.909","0"
"2011","-1 points","Mixed","All","Not main scheme application","15","15","0.765","0"
"2012","-1 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2013","-1 points","Mixed","All","Not main scheme application","15","10","0.857","0"
"2014","-1 points","Mixed","All","Not main scheme application","20","15","0.65","0"
"2015","-1 points","Mixed","All","Not main scheme application","15","10","0.857","0"
"2016","-1 points","Mixed","All","Not main scheme application","20","15","0.85","0"
"2017","-1 points","Mixed","All","Not main scheme application","15","10","0.8","0"
"2018","-1 points","Mixed","All","Not main scheme application","10","10","0.909","0"
"2019","-1 points","Mixed","All","Not main scheme application","25","20","0.9570000000000001","0"
"2020","-1 points","Mixed","All","Not main scheme application","20","20","0.9470000000000001","0"
"2021","-1 points","Mixed","All","Not main scheme application","20","15","0.85","0"
"2022","-1 points","Mixed","All","Not main scheme application","20","15","0.833","0"
"2023","-1 points","Mixed","All","Not main scheme application","25","20","0.8260000000000001","0"
"2010","-2 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2011","-2 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2012","-2 points","Mixed","All","Not main scheme application","10","10","0.917","0"
"2013","-2 points","Mixed","All","Not main scheme application","10","5"," ","0"
"2014","-2 points","Mixed","All","Not main scheme application","15","15","0.867","0"
"2015","-2 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2016","-2 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2017","-2 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2018","-2 points","Mixed","All","Not main scheme application","10","5"," ","0"
"2019","-2 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2020","-2 points","Mixed","All","Not main scheme application","10","10","1","0"
"2021","-2 points","Mixed","All","Not main scheme application","20","20","0.9520000000000001","0"
"2022","-2 points","Mixed","All","Not main scheme application","20","20","0.9520000000000001","0"
"2023","-2 points","Mixed","All","Not main scheme application","20","15","0.9440000000000001","0"
"2010","-3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2011","-3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2012","-3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2013","-3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2014","-3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2015","-3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2016","-3 points","Mixed","All","Not main scheme application","15","15","0.9410000000000001","0"
"2017","-3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2018","-3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2019","-3 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2020","-3 points","Mixed","All","Not main scheme application","10","10","0.909","0"
"2021","-3 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2022","-3 points","Mixed","All","Not main scheme application","10","5"," ","0"
"2023","-3 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2012","-4 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2014","-4 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2015","-4 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2016","-4 points","Mixed","All","Not main scheme application","10","5"," ","0"
"2017","-4 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2018","-4 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2019","-4 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2020","-4 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2021","-4 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2022","-4 points","Mixed","All","Not main scheme application","10","10"," ","0"
"2023","-4 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2012","-5 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2013","-5 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2014","-5 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2019","-5 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2023","-5 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2016","-6 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2023","-6 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2013","Less than -6 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2014","Less than -6 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2017","Less than -6 points","Mixed","All","Not main scheme application","5","0"," ","0"
"2018","Less than -6 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2020","Less than -6 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2010","0 points","Other","All","Not main scheme application","5","5"," ","0"
"2011","0 points","Other","All","Not main scheme application","10","5"," ","0"
"2012","0 points","Other","All","Not main scheme application","10","10"," ","0"
"2013","0 points","Other","All","Not main scheme application","10","10"," ","0"
"2014","0 points","Other","All","Not main scheme application","10","10"," ","0"
"2015","0 points","Other","All","Not main scheme application","25","25","0.923","0"
