"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","Male","18","Scotland","5","0"," "
"2020","Male","18","Scotland","5","0"," "
"2021","Male","18","Scotland","5","0"," "
"2022","Male","18","Scotland","5","0"," "
"2023","Male","18","Scotland","10","0"," "
"2019","Female","19","Scotland","5","0"," "
"2021","Female","19","Scotland","10","0"," "
"2022","Female","19","Scotland","10","0"," "
"2023","Female","19","Scotland","10","0"," "
"2022","Male","19","Scotland","5","0"," "
"2019","Female","20","Scotland","10","0"," "
"2020","Female","20","Scotland","10","0"," "
"2021","Female","20","Scotland","25","0"," "
"2022","Female","20","Scotland","15","0"," "
"2023","Female","20","Scotland","5","0"," "
"2021","Male","20","Scotland","5","0"," "
"2022","Male","20","Scotland","5","0"," "
"2023","Male","20","Scotland","10","0"," "
"2019","Female","21 - 24","Scotland","4260","1020","0.23900000000000002"
"2020","Female","21 - 24","Scotland","4635","1090","0.23500000000000001"
"2021","Female","21 - 24","Scotland","5970","1230","0.20600000000000002"
"2022","Female","21 - 24","Scotland","4365","1190","0.273"
"2023","Female","21 - 24","Scotland","3730","1140","0.306"
"2019","Male","21 - 24","Scotland","1440","300","0.20800000000000002"
"2020","Male","21 - 24","Scotland","1345","310","0.23"
"2021","Male","21 - 24","Scotland","1900","385","0.203"
"2022","Male","21 - 24","Scotland","1435","315","0.219"
"2023","Male","21 - 24","Scotland","1120","285","0.253"
"2019","Female","25 - 29","Scotland","3320","755","0.228"
"2020","Female","25 - 29","Scotland","3115","750","0.241"
"2021","Female","25 - 29","Scotland","4225","900","0.213"
"2022","Female","25 - 29","Scotland","2920","765","0.262"
"2023","Female","25 - 29","Scotland","2020","570","0.28300000000000003"
"2019","Male","25 - 29","Scotland","1290","285","0.219"
"2020","Male","25 - 29","Scotland","1425","325","0.228"
"2021","Male","25 - 29","Scotland","1785","315","0.177"
"2022","Male","25 - 29","Scotland","1295","310","0.23900000000000002"
"2023","Male","25 - 29","Scotland","1040","265","0.255"
"2019","Female","30 - 34","Scotland","1245","290","0.232"
"2020","Female","30 - 34","Scotland","1335","340","0.256"
"2021","Female","30 - 34","Scotland","1555","310","0.199"
"2022","Female","30 - 34","Scotland","1040","275","0.263"
"2023","Female","30 - 34","Scotland","825","235","0.28500000000000003"
"2019","Male","30 - 34","Scotland","600","135","0.223"
"2020","Male","30 - 34","Scotland","615","135","0.216"
"2021","Male","30 - 34","Scotland","725","165","0.228"
"2022","Male","30 - 34","Scotland","670","180","0.27"
"2023","Male","30 - 34","Scotland","415","115","0.272"
"2019","Female","35 and over","Scotland","2005","465","0.231"
"2020","Female","35 and over","Scotland","2145","555","0.258"
"2021","Female","35 and over","Scotland","2340","480","0.20600000000000002"
"2022","Female","35 and over","Scotland","1705","440","0.257"
"2023","Female","35 and over","Scotland","1410","450","0.319"
"2019","Male","35 and over","Scotland","945","215","0.226"
"2020","Male","35 and over","Scotland","840","220","0.26"
"2021","Male","35 and over","Scotland","990","210","0.21"
"2022","Male","35 and over","Scotland","730","185","0.252"
"2023","Male","35 and over","Scotland","555","145","0.263"
"2020","Female","18","Wales","5","0"," "
"2022","Female","18","Wales","15","0"," "
"2022","Male","18","Wales","5","0"," "
"2023","Male","18","Wales","5","0"," "
"2023","Male","20","Wales","5","0"," "
"2019","Female","21 - 24","Wales","5","0"," "
"2020","Female","21 - 24","Wales","15","0"," "
"2022","Female","21 - 24","Wales","1080","580","0.537"
"2023","Female","21 - 24","Wales","1005","510","0.506"
"2021","Male","21 - 24","Wales","5","0"," "
"2022","Male","21 - 24","Wales","365","175","0.47700000000000004"
"2023","Male","21 - 24","Wales","340","180","0.524"
"2019","Female","25 - 29","Wales","5","0"," "
"2020","Female","25 - 29","Wales","5","0"," "
"2021","Female","25 - 29","Wales","5","0"," "
"2022","Female","25 - 29","Wales","355","195","0.549"
"2023","Female","25 - 29","Wales","305","155","0.515"
"2019","Male","25 - 29","Wales","5","0"," "
"2020","Male","25 - 29","Wales","10","0"," "
"2022","Male","25 - 29","Wales","175","85","0.48"
"2023","Male","25 - 29","Wales","160","80","0.506"
"2022","Female","30 - 34","Wales","115","65","0.548"
"2023","Female","30 - 34","Wales","110","60","0.545"
"2019","Male","30 - 34","Wales","5","0"," "
"2022","Male","30 - 34","Wales","75","35","0.493"
"2023","Male","30 - 34","Wales","45","20","0.489"
"2022","Female","35 and over","Wales","140","70","0.486"
