"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","20","10","0.5630000000000001"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","50","35","0.666"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","25","20","0.791"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","25","15","0.55"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","5","5"," "
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","5","5"," "
"2019","(CAH17) business and management","(CAH17-01-05) human resource management","Unknown","10","10"," "
"2020","(CAH17) business and management","(CAH17-01-05) human resource management","Unknown","5","5"," "
"2021","(CAH17) business and management","(CAH17-01-05) human resource management","Unknown","5","5"," "
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","Unknown","5","0"," "
"2019","(CAH17) business and management","(CAH17-01-04) management studies","Unknown","85","60","0.7020000000000001"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","Unknown","90","60","0.65"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","Unknown","100","60","0.617"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","Unknown","15","5"," "
"2023","(CAH17) business and management","(CAH17-01-04) management studies","Unknown","10","5"," "
"2019","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","25","15","0.637"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","35","20","0.624"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","25","15","0.648"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","5","5"," "
"2023","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","15","10","0.795"
"2019","(CAH17) business and management","(CAH17-01-07) finance","Unknown","30","20","0.624"
"2020","(CAH17) business and management","(CAH17-01-07) finance","Unknown","40","20","0.528"
"2021","(CAH17) business and management","(CAH17-01-07) finance","Unknown","35","20","0.543"
"2022","(CAH17) business and management","(CAH17-01-07) finance","Unknown","10","5"," "
"2023","(CAH17) business and management","(CAH17-01-07) finance","Unknown","5","5"," "
"2019","(CAH15) social sciences","(CAH15-03-01) politics","Unknown","85","60","0.714"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","Unknown","55","40","0.736"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","Unknown","70","60","0.8220000000000001"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","Unknown","20","15","0.767"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","Unknown","25","15","0.68"
"2019","(CAH15) social sciences","(CAH15-01-04) anthropology","Unknown","15","5"," "
"2020","(CAH15) social sciences","(CAH15-01-04) anthropology","Unknown","15","15","0.877"
"2021","(CAH15) social sciences","(CAH15-01-04) anthropology","Unknown","10","5"," "
"2022","(CAH15) social sciences","(CAH15-01-04) anthropology","Unknown","5","5"," "
"2019","(CAH15) social sciences","(CAH15-02-01) economics","Unknown","80","55","0.6970000000000001"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","Unknown","65","35","0.558"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","Unknown","55","30","0.5650000000000001"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","Unknown","20","15","0.684"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","Unknown","15","15","0.833"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","15","15","0.9"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","10","10","1"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","10","10"," "
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","5","5"," "
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Unknown","5","5"," "
"2019","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","40","15","0.35000000000000003"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","20","10"," "
"2021","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","50","15","0.31"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","20","10"," "
"2023","(CAH15) social sciences","(CAH15-04-01) social work","Unknown","5","0"," "
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Unknown","10","10"," "
"2020","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Unknown","15","10"," "
