"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2019","Scotland","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","35","20","0.647"
"2020","Scotland","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","30","15","0.5"
"2021","Scotland","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","15","10","0.667"
"2022","Scotland","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.577"
"2023","Scotland","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","15","10","0.667"
"2022","Wales","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","10","10","0.833"
"2023","Wales","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","15","10","0.8"
"2023","Wales","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Scotland","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Scotland","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Scotland","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2020","Scotland","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","25","10","0.417"
"2021","Scotland","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","25","5"," "
"2022","Scotland","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","15","10"," "
"2023","Scotland","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","15","5"," "
"2019","Scotland","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Scotland","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","15","5"," "
"2021","Scotland","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","20","5"," "
"2022","Scotland","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Scotland","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Scotland","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2022","Scotland","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2023","Scotland","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Scotland","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Scotland","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","15","5"," "
"2021","Scotland","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2022","Scotland","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Scotland","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2022","Wales","21 - 24","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","25 - 29","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","45","10"," "
"2020","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","10"," "
"2021","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","45","15","0.311"
"2022","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","10"," "
"2023","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","20","5"," "
"2022","Wales","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Wales","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","10"," "
"2020","Scotland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","5"," "
"2021","Scotland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","5"," "
"2022","Scotland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","5"," "
"2023","Scotland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","5"," "
"2022","Wales","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Wales","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Scotland","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Scotland","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Wales","18","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2020","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2021","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2022","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","England","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2019","Scotland","21 - 24","England","Female","Main scheme applicant","Main scheme application","40","20","0.45"
"2020","Scotland","21 - 24","England","Female","Main scheme applicant","Main scheme application","25","10"," "
"2021","Scotland","21 - 24","England","Female","Main scheme applicant","Main scheme application","55","15","0.246"
"2022","Scotland","21 - 24","England","Female","Main scheme applicant","Main scheme application","35","10","0.303"
"2023","Scotland","21 - 24","England","Female","Main scheme applicant","Main scheme application","30","5"," "
