"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Disability declared","All","All","Not main scheme application","5"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Disability declared","All","All","Not main scheme application","5"
"2019","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","All","All","Not main scheme application","35"
"2020","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","All","All","Not main scheme application","60"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","All","All","Not main scheme application","50"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","All","All","Not main scheme application","45"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","All","All","Not main scheme application","55"
"2019","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","All","All","Not main scheme application","5"
"2020","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","All","All","Not main scheme application","10"
"2021","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","All","All","Not main scheme application","10"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","All","All","Not main scheme application","10"
"2023","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","All","All","Not main scheme application","20"
"2019","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","All","All","Not main scheme application","40"
"2020","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","All","All","Not main scheme application","45"
"2021","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","All","All","Not main scheme application","30"
"2022","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","All","All","Not main scheme application","30"
"2023","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","All","All","Not main scheme application","45"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","All","All","Not main scheme application","180"
"2020","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","All","All","Not main scheme application","210"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","All","All","Not main scheme application","210"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","All","All","Not main scheme application","250"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","All","All","Not main scheme application","310"
"2019","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","All","All","Not main scheme application","400"
"2020","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","All","All","Not main scheme application","475"
"2021","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","All","All","Not main scheme application","375"
"2022","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","All","All","Not main scheme application","450"
"2023","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","All","All","Not main scheme application","685"
"2019","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","All","All","Not main scheme application","65"
"2020","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","All","All","Not main scheme application","75"
"2021","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","All","All","Not main scheme application","60"
"2022","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","All","All","Not main scheme application","60"
"2023","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","All","All","Not main scheme application","70"
"2019","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","All","All","Not main scheme application","25"
"2020","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","All","All","Not main scheme application","15"
"2021","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","All","All","Not main scheme application","20"
"2022","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","All","All","Not main scheme application","25"
"2023","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","All","All","Not main scheme application","25"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","All","All","Not main scheme application","90"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","All","All","Not main scheme application","90"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","All","All","Not main scheme application","95"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","All","All","Not main scheme application","120"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","All","All","Not main scheme application","195"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","All","All","Not main scheme application","20"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","All","All","Not main scheme application","25"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","All","All","Not main scheme application","20"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","All","All","Not main scheme application","30"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","All","All","Not main scheme application","30"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Disability declared","All","All","Not main scheme application","40"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Disability declared","All","All","Not main scheme application","40"
