"Year","Predicted BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","4 points (MMM)","Other","All","Main scheme application","65","40","0.594","0"
"2014","4 points (MMM)","Other","All","Main scheme application","50","25","0.54","0"
"2015","4 points (MMM)","Other","All","Main scheme application","50","30","0.5690000000000001","0"
"2016","4 points (MMM)","Other","All","Main scheme application","40","25","0.595","0"
"2017","4 points (MMM)","Other","All","Main scheme application","30","25","0.75","0"
"2018","4 points (MMM)","Other","All","Main scheme application","30","20","0.5630000000000001","0"
"2019","4 points (MMM)","Other","All","Main scheme application","35","20","0.559","0"
"2020","4 points (MMM)","Other","All","Main scheme application","45","35","0.787","0"
"2021","4 points (MMM)","Other","All","Main scheme application","65","40","0.651","0"
"2022","4 points (MMM)","Other","All","Main scheme application","85","50","0.598","0"
"2023","4 points (MMM)","Other","All","Main scheme application","100","65","0.627","0"
"2010","5 points (DMM)","Other","All","Main scheme application","30","25","0.8130000000000001","0"
"2011","5 points (DMM)","Other","All","Main scheme application","25","15","0.593","0"
"2012","5 points (DMM)","Other","All","Main scheme application","35","20","0.556","0"
"2013","5 points (DMM)","Other","All","Main scheme application","60","45","0.71","0"
"2014","5 points (DMM)","Other","All","Main scheme application","70","50","0.71","0"
"2015","5 points (DMM)","Other","All","Main scheme application","70","50","0.6900000000000001","0"
"2016","5 points (DMM)","Other","All","Main scheme application","75","50","0.6890000000000001","0"
"2017","5 points (DMM)","Other","All","Main scheme application","60","45","0.742","0"
"2018","5 points (DMM)","Other","All","Main scheme application","65","45","0.662","0"
"2019","5 points (DMM)","Other","All","Main scheme application","80","60","0.744","0"
"2020","5 points (DMM)","Other","All","Main scheme application","75","50","0.653","0"
"2021","5 points (DMM)","Other","All","Main scheme application","95","65","0.6990000000000001","0"
"2022","5 points (DMM)","Other","All","Main scheme application","105","75","0.714","0"
"2023","5 points (DMM)","Other","All","Main scheme application","135","85","0.622","0"
"2010","6 points (DDM)","Other","All","Main scheme application","30","25","0.781","0"
"2011","6 points (DDM)","Other","All","Main scheme application","50","35","0.771","0"
"2012","6 points (DDM)","Other","All","Main scheme application","30","25","0.844","0"
"2013","6 points (DDM)","Other","All","Main scheme application","55","40","0.704","0"
"2014","6 points (DDM)","Other","All","Main scheme application","60","40","0.65","0"
"2015","6 points (DDM)","Other","All","Main scheme application","85","70","0.8260000000000001","0"
"2016","6 points (DDM)","Other","All","Main scheme application","70","50","0.739","0"
"2017","6 points (DDM)","Other","All","Main scheme application","90","60","0.67","0"
"2018","6 points (DDM)","Other","All","Main scheme application","75","60","0.779","0"
"2019","6 points (DDM)","Other","All","Main scheme application","80","55","0.709","0"
"2020","6 points (DDM)","Other","All","Main scheme application","95","75","0.802","0"
"2021","6 points (DDM)","Other","All","Main scheme application","110","75","0.6880000000000001","0"
"2022","6 points (DDM)","Other","All","Main scheme application","135","95","0.7010000000000001","0"
"2023","6 points (DDM)","Other","All","Main scheme application","135","90","0.672","0"
"2010","7 points (DDD)","Other","All","Main scheme application","30","20","0.786","0"
"2011","7 points (DDD)","Other","All","Main scheme application","45","35","0.8220000000000001","0"
"2012","7 points (DDD)","Other","All","Main scheme application","60","40","0.712","0"
"2013","7 points (DDD)","Other","All","Main scheme application","70","55","0.792","0"
"2014","7 points (DDD)","Other","All","Main scheme application","70","50","0.718","0"
"2015","7 points (DDD)","Other","All","Main scheme application","95","70","0.723","0"
"2016","7 points (DDD)","Other","All","Main scheme application","80","60","0.753","0"
"2017","7 points (DDD)","Other","All","Main scheme application","80","55","0.709","0"
"2018","7 points (DDD)","Other","All","Main scheme application","125","95","0.754","0"
"2019","7 points (DDD)","Other","All","Main scheme application","125","95","0.789","0"
"2020","7 points (DDD)","Other","All","Main scheme application","125","90","0.717","0"
"2021","7 points (DDD)","Other","All","Main scheme application","150","115","0.77","0"
"2022","7 points (DDD)","Other","All","Main scheme application","170","120","0.704","0"
"2023","7 points (DDD)","Other","All","Main scheme application","165","115","0.6950000000000001","0"
"2012","8 points (D*DD)","Other","All","Main scheme application","5","5"," ","0"
"2013","8 points (D*DD)","Other","All","Main scheme application","10","5"," ","0"
"2014","8 points (D*DD)","Other","All","Main scheme application","30","25","0.8280000000000001","0"
"2015","8 points (D*DD)","Other","All","Main scheme application","50","35","0.74","0"
"2016","8 points (D*DD)","Other","All","Main scheme application","45","35","0.739","0"
"2017","8 points (D*DD)","Other","All","Main scheme application","55","45","0.849","0"
"2018","8 points (D*DD)","Other","All","Main scheme application","70","55","0.812","0"
"2019","8 points (D*DD)","Other","All","Main scheme application","80","60","0.75","0"
"2020","8 points (D*DD)","Other","All","Main scheme application","90","70","0.764","0"
"2021","8 points (D*DD)","Other","All","Main scheme application","100","80","0.794","0"
"2022","8 points (D*DD)","Other","All","Main scheme application","105","85","0.792","0"
"2023","8 points (D*DD)","Other","All","Main scheme application","105","85","0.776","0"
"2012","9 points (D*D*D)","Other","All","Main scheme application","10","10","0.909","0"
"2013","9 points (D*D*D)","Other","All","Main scheme application","15","5"," ","0"
"2014","9 points (D*D*D)","Other","All","Main scheme application","15","15","0.8130000000000001","0"
"2015","9 points (D*D*D)","Other","All","Main scheme application","30","25","0.767","0"
"2016","9 points (D*D*D)","Other","All","Main scheme application","30","25","0.75","0"
"2017","9 points (D*D*D)","Other","All","Main scheme application","40","30","0.732","0"
"2018","9 points (D*D*D)","Other","All","Main scheme application","50","40","0.731","0"
"2019","9 points (D*D*D)","Other","All","Main scheme application","55","45","0.87","0"
"2020","9 points (D*D*D)","Other","All","Main scheme application","60","50","0.803","0"
"2021","9 points (D*D*D)","Other","All","Main scheme application","75","55","0.77","0"
"2022","9 points (D*D*D)","Other","All","Main scheme application","70","60","0.855","0"
"2023","9 points (D*D*D)","Other","All","Main scheme application","70","60","0.806","0"
"2013","10 points (D*D*D*)","Other","All","Main scheme application","20","15","0.75","0"
"2014","10 points (D*D*D*)","Other","All","Main scheme application","30","25","0.833","0"
"2015","10 points (D*D*D*)","Other","All","Main scheme application","60","45","0.721","0"
"2016","10 points (D*D*D*)","Other","All","Main scheme application","65","55","0.841","0"
"2017","10 points (D*D*D*)","Other","All","Main scheme application","80","70","0.85","0"
"2018","10 points (D*D*D*)","Other","All","Main scheme application","85","70","0.793","0"
"2019","10 points (D*D*D*)","Other","All","Main scheme application","80","60","0.759","0"
"2020","10 points (D*D*D*)","Other","All","Main scheme application","110","95","0.848","0"
"2021","10 points (D*D*D*)","Other","All","Main scheme application","115","95","0.835","0"
"2022","10 points (D*D*D*)","Other","All","Main scheme application","80","60","0.782","0"
"2023","10 points (D*D*D*)","Other","All","Main scheme application","40","30","0.769","0"
"2010","1 point (PPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2021","1 point (PPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2022","1 point (PPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2023","1 point (PPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2010","2 points (MPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2012","2 points (MPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2018","2 points (MPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2020","2 points (MPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2021","2 points (MPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2022","2 points (MPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2023","2 points (MPP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2010","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2012","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2013","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2014","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2015","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2016","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2017","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2018","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2019","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2022","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2023","3 points (MMP)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","20","10","0.556","0"
"2011","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","15","10"," ","0"
"2012","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2013","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2014","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2015","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2016","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2017","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2018","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2019","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2020","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2021","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2022","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2023","4 points (MMM)","Unknown or Prefer Not To Say","All","Main scheme application","15","10"," ","0"
"2010","5 points (DMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2011","5 points (DMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2012","5 points (DMM)","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2013","5 points (DMM)","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2014","5 points (DMM)","Unknown or Prefer Not To Say","All","Main scheme application","15","10"," ","0"
"2015","5 points (DMM)","Unknown or Prefer Not To Say","All","Main scheme application","20","15","0.778","0"
