"Year","Achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","2 points (MPP)","White","Main scheme applicant","Not main scheme application","40","35","0.881","0"
"2021","2 points (MPP)","White","Main scheme applicant","Not main scheme application","50","45","0.9","0"
"2022","2 points (MPP)","White","Main scheme applicant","Not main scheme application","75","65","0.844","0"
"2023","2 points (MPP)","White","Main scheme applicant","Not main scheme application","65","55","0.889","0"
"2010","3 points (MMP)","White","Main scheme applicant","Not main scheme application","130","105","0.809","0"
"2011","3 points (MMP)","White","Main scheme applicant","Not main scheme application","120","80","0.65","0"
"2012","3 points (MMP)","White","Main scheme applicant","Not main scheme application","95","75","0.792","0"
"2013","3 points (MMP)","White","Main scheme applicant","Not main scheme application","85","60","0.747","0"
"2014","3 points (MMP)","White","Main scheme applicant","Not main scheme application","100","85","0.843","0"
"2015","3 points (MMP)","White","Main scheme applicant","Not main scheme application","95","80","0.8130000000000001","0"
"2016","3 points (MMP)","White","Main scheme applicant","Not main scheme application","85","70","0.837","0"
"2017","3 points (MMP)","White","Main scheme applicant","Not main scheme application","55","50","0.857","0"
"2018","3 points (MMP)","White","Main scheme applicant","Not main scheme application","55","50","0.9450000000000001","0"
"2019","3 points (MMP)","White","Main scheme applicant","Not main scheme application","55","50","0.9450000000000001","0"
"2020","3 points (MMP)","White","Main scheme applicant","Not main scheme application","55","50","0.906","0"
"2021","3 points (MMP)","White","Main scheme applicant","Not main scheme application","70","55","0.809","0"
"2022","3 points (MMP)","White","Main scheme applicant","Not main scheme application","75","60","0.8270000000000001","0"
"2023","3 points (MMP)","White","Main scheme applicant","Not main scheme application","65","60","0.879","0"
"2010","4 points (MMM)","White","Main scheme applicant","Not main scheme application","155","125","0.795","0"
"2011","4 points (MMM)","White","Main scheme applicant","Not main scheme application","155","120","0.769","0"
"2012","4 points (MMM)","White","Main scheme applicant","Not main scheme application","140","115","0.801","0"
"2013","4 points (MMM)","White","Main scheme applicant","Not main scheme application","125","100","0.803","0"
"2014","4 points (MMM)","White","Main scheme applicant","Not main scheme application","100","80","0.792","0"
"2015","4 points (MMM)","White","Main scheme applicant","Not main scheme application","110","95","0.889","0"
"2016","4 points (MMM)","White","Main scheme applicant","Not main scheme application","105","90","0.875","0"
"2017","4 points (MMM)","White","Main scheme applicant","Not main scheme application","75","65","0.857","0"
"2018","4 points (MMM)","White","Main scheme applicant","Not main scheme application","55","45","0.87","0"
"2019","4 points (MMM)","White","Main scheme applicant","Not main scheme application","70","60","0.871","0"
"2020","4 points (MMM)","White","Main scheme applicant","Not main scheme application","70","65","0.926","0"
"2021","4 points (MMM)","White","Main scheme applicant","Not main scheme application","90","75","0.841","0"
"2022","4 points (MMM)","White","Main scheme applicant","Not main scheme application","105","90","0.858","0"
"2023","4 points (MMM)","White","Main scheme applicant","Not main scheme application","85","80","0.908","0"
"2010","5 points (DMM)","White","Main scheme applicant","Not main scheme application","160","130","0.81","0"
"2011","5 points (DMM)","White","Main scheme applicant","Not main scheme application","165","125","0.779","0"
"2012","5 points (DMM)","White","Main scheme applicant","Not main scheme application","170","125","0.756","0"
