"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","Female","21 - 24","Wales","365","45","0.11800000000000001"
"2022","Female","21 - 24","Wales","230","40","0.178"
"2023","Female","21 - 24","Wales","185","40","0.227"
"2019","Male","21 - 24","Wales","5","0"," "
"2019","Female","25 - 29","Wales","290","35","0.114"
"2020","Female","25 - 29","Wales","260","60","0.223"
"2021","Female","25 - 29","Wales","440","60","0.14100000000000001"
"2022","Female","25 - 29","Wales","275","55","0.193"
"2023","Female","25 - 29","Wales","210","60","0.281"
"2023","Male","25 - 29","Wales","5","5"," "
"2019","Female","30 - 34","Wales","195","30","0.149"
"2020","Female","30 - 34","Wales","230","45","0.191"
"2021","Female","30 - 34","Wales","240","40","0.158"
"2022","Female","30 - 34","Wales","220","45","0.2"
"2023","Female","30 - 34","Wales","180","50","0.289"
"2019","Female","35 and over","Wales","135","25","0.178"
"2020","Female","35 and over","Wales","140","30","0.221"
"2021","Female","35 and over","Wales","185","25","0.146"
"2022","Female","35 and over","Wales","155","40","0.271"
"2023","Female","35 and over","Wales","120","40","0.333"
"2020","Male","35 and over","Wales","5","0"," "
"2019","Female","17 and under","Not EU","5","0"," "
"2020","Female","17 and under","Not EU","10","0"," "
"2021","Female","17 and under","Not EU","10","0"," "
"2022","Female","17 and under","Not EU","5","0"," "
"2023","Female","17 and under","Not EU","5","5"," "
"2019","Female","18","Not EU","55","10"," "
"2020","Female","18","Not EU","55","10","0.182"
"2021","Female","18","Not EU","45","5"," "
"2022","Female","18","Not EU","80","5"," "
"2023","Female","18","Not EU","55","15","0.23600000000000002"
"2019","Female","19","Not EU","35","0"," "
"2020","Female","19","Not EU","25","0"," "
"2021","Female","19","Not EU","45","5"," "
"2022","Female","19","Not EU","45","5"," "
"2023","Female","19","Not EU","20","0"," "
"2019","Female","20","Not EU","20","0"," "
"2020","Female","20","Not EU","5","0"," "
"2021","Female","20","Not EU","10","0"," "
"2022","Female","20","Not EU","20","0"," "
"2023","Female","20","Not EU","30","0"," "
"2019","Female","21 - 24","Not EU","60","5"," "
"2020","Female","21 - 24","Not EU","30","5"," "
"2021","Female","21 - 24","Not EU","95","5"," "
"2022","Female","21 - 24","Not EU","70","10","0.14300000000000002"
"2023","Female","21 - 24","Not EU","70","10","0.171"
"2022","Male","21 - 24","Not EU","5","0"," "
"2023","Male","21 - 24","Not EU","10","0"," "
"2019","Female","25 - 29","Not EU","55","15","0.273"
"2020","Female","25 - 29","Not EU","75","10"," "
