"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","Scotland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","0"," "
"2021","Scotland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","40","0"," "
"2022","Scotland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","0"," "
"2023","Scotland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","0"," "
"2019","Wales","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2020","Wales","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2021","Wales","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","25","0"," "
"2022","Wales","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","0"," "
"2023","Wales","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","20","0"," "
"2019","England","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","0"," "
"2020","England","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","20","0"," "
"2021","England","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","0"," "
