"Year","Qualification group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1520","1410","0.928","90"
"2008","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","245","245","0.992","5"
"2009","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","205","200","0.976","0"
"2010","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","215","215","1","0"
"2011","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","90","90","1","0"
"2012","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","145","145","1","0"
"2013","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","180","180","1","0"
"2014","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","175","170","0.983","0"
"2016","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","170","165","0.994","0"
"2017","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","160","160","0.994","0"
"2018","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","165","165","1","0"
"2019","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","150","150","0.98","0"
"2020","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","165","165","0.994","0"
"2021","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","140","140","1","0"
"2022","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","130","125","0.984","5"
"2023","Other","18","Scotland","Female","Not main scheme applicant","Not main scheme application","180","175","0.972","0"
