"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","International","EU (excluding UK)","Ireland","21 - 24","Male","20","0"," "
"2022","International","EU (excluding UK)","Ireland","21 - 24","Male","60","5"," "
"2023","International","EU (excluding UK)","Ireland","21 - 24","Male","20","0"," "
"2021","International","EU (excluding UK)","Luxembourg","21 - 24","Male","5","0"," "
"2020","International","EU (excluding UK)","Romania","21 - 24","Male","5","5"," "
"2021","International","EU (excluding UK)","Spain","21 - 24","Male","5","0"," "
"2022","International","EU (excluding UK)","Spain","21 - 24","Male","10","0"," "
"2021","International","EU (excluding UK)","Slovakia","21 - 24","Male","5","5"," "
"2019","International","EU (excluding UK)","Cyprus (European Union)","21 - 24","Male","10","0"," "
"2019","International","Not EU","Jersey","21 - 24","Male","5","0"," "
"2023","International","Not EU","Canada","21 - 24","Male","10","5"," "
"2020","International","Not EU","India","21 - 24","Male","5","0"," "
"2019","International","Not EU","Japan","21 - 24","Male","5","0"," "
"2020","International","Not EU","Japan","21 - 24","Male","5","0"," "
"2020","International","Not EU","South Africa","21 - 24","Male","5","0"," "
"2023","International","Not EU","Thailand","21 - 24","Male","5","0"," "
"2021","International","Not EU","United States of America","21 - 24","Male","5","0"," "
"2022","International","Not EU","United States of America","21 - 24","Male","10","0"," "
"2023","International","Not EU","United States of America","21 - 24","Male","5","0"," "
"2019","UK","England","England","25 - 29","Male","35","10","0.314"
"2020","UK","England","England","25 - 29","Male","30","5"," "
"2021","UK","England","England","25 - 29","Male","30","10","0.367"
"2022","UK","England","England","25 - 29","Male","40","10"," "
"2023","UK","England","England","25 - 29","Male","30","10","0.333"
"2019","UK","Northern Ireland","Northern Ireland","25 - 29","Male","30","5"," "
"2020","UK","Northern Ireland","Northern Ireland","25 - 29","Male","20","0"," "
"2021","UK","Northern Ireland","Northern Ireland","25 - 29","Male","30","5"," "
"2022","UK","Northern Ireland","Northern Ireland","25 - 29","Male","10","5"," "
"2023","UK","Northern Ireland","Northern Ireland","25 - 29","Male","10","5"," "
"2019","UK","Scotland","Scotland","25 - 29","Male","1290","285","0.219"
"2020","UK","Scotland","Scotland","25 - 29","Male","1425","325","0.228"
"2021","UK","Scotland","Scotland","25 - 29","Male","1785","315","0.177"
"2022","UK","Scotland","Scotland","25 - 29","Male","1295","310","0.23900000000000002"
"2023","UK","Scotland","Scotland","25 - 29","Male","1040","265","0.255"
"2019","UK","Wales","Wales","25 - 29","Male","5","0"," "
"2020","UK","Wales","Wales","25 - 29","Male","10","0"," "
"2022","UK","Wales","Wales","25 - 29","Male","175","85","0.48"
"2023","UK","Wales","Wales","25 - 29","Male","160","80","0.506"
"2020","International","EU (excluding UK)","France","25 - 29","Male","5","0"," "
"2021","International","EU (excluding UK)","France","25 - 29","Male","5","5"," "
"2020","International","EU (excluding UK)","Germany","25 - 29","Male","10","0"," "
"2019","International","EU (excluding UK)","Ireland","25 - 29","Male","35","5"," "
"2020","International","EU (excluding UK)","Ireland","25 - 29","Male","40","5"," "
"2021","International","EU (excluding UK)","Ireland","25 - 29","Male","25","5"," "
"2022","International","EU (excluding UK)","Ireland","25 - 29","Male","20","5"," "
"2023","International","EU (excluding UK)","Ireland","25 - 29","Male","5","0"," "
"2019","International","EU (excluding UK)","Italy","25 - 29","Male","5","0"," "
"2020","International","EU (excluding UK)","Italy","25 - 29","Male","5","0"," "
"2021","International","EU (excluding UK)","Spain","25 - 29","Male","10","0"," "
"2019","International","EU (excluding UK)","Sweden","25 - 29","Male","10","0"," "
"2019","International","Not EU","Canada","25 - 29","Male","5","0"," "
"2022","International","Not EU","Canada","25 - 29","Male","10","0"," "
"2023","International","Not EU","Canada","25 - 29","Male","10","5"," "
"2022","International","Not EU","Chile","25 - 29","Male","5","0"," "
"2022","International","Not EU","China","25 - 29","Male","15","0"," "
