"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","35 and over","Wales","All","170","90","0.518"
"2019","21 - 24","Not EU","All","45","10","0.222"
"2020","21 - 24","Not EU","All","85","25","0.294"
"2021","21 - 24","Not EU","All","45","10"," "
"2022","21 - 24","Not EU","All","60","15","0.25"
"2023","21 - 24","Not EU","All","90","15","0.14400000000000002"
"2019","25 - 29","Not EU","All","60","15","0.267"
"2020","25 - 29","Not EU","All","60","15","0.267"
"2021","25 - 29","Not EU","All","70","20","0.257"
"2022","25 - 29","Not EU","All","125","30","0.224"
"2023","25 - 29","Not EU","All","80","20","0.275"
"2019","30 - 34","Not EU","All","40","10","0.25"
"2020","30 - 34","Not EU","All","45","10","0.222"
"2021","30 - 34","Not EU","All","30","5"," "
"2022","30 - 34","Not EU","All","90","30","0.34400000000000003"
"2023","30 - 34","Not EU","All","60","10"," "
"2019","35 and over","Not EU","All","45","5"," "
"2020","35 and over","Not EU","All","35","5"," "
"2021","35 and over","Not EU","All","70","5"," "
"2022","35 and over","Not EU","All","125","25","0.2"
"2023","35 and over","Not EU","All","80","10"," "
"2020","19","EU (excluding UK)","All","5","0"," "
"2019","20","EU (excluding UK)","All","10","0"," "
"2020","20","EU (excluding UK)","All","10","0"," "
"2019","21 - 24","EU (excluding UK)","All","430","70","0.165"
"2020","21 - 24","EU (excluding UK)","All","460","95","0.209"
"2021","21 - 24","EU (excluding UK)","All","290","55","0.183"
"2022","21 - 24","EU (excluding UK)","All","205","40","0.195"
"2023","21 - 24","EU (excluding UK)","All","165","35","0.20600000000000002"
"2019","25 - 29","EU (excluding UK)","All","200","35","0.165"
"2020","25 - 29","EU (excluding UK)","All","295","60","0.197"
"2021","25 - 29","EU (excluding UK)","All","195","35","0.19"
"2022","25 - 29","EU (excluding UK)","All","140","45","0.336"
"2023","25 - 29","EU (excluding UK)","All","70","15","0.186"
"2019","30 - 34","EU (excluding UK)","All","120","25","0.2"
"2020","30 - 34","EU (excluding UK)","All","95","25","0.274"
"2021","30 - 34","EU (excluding UK)","All","55","5"," "
"2022","30 - 34","EU (excluding UK)","All","35","10"," "
"2023","30 - 34","EU (excluding UK)","All","25","5"," "
"2019","35 and over","EU (excluding UK)","All","55","10","0.218"
"2020","35 and over","EU (excluding UK)","All","50","10"," "
"2021","35 and over","EU (excluding UK)","All","30","0"," "
"2022","35 and over","EU (excluding UK)","All","35","5"," "
"2023","35 and over","EU (excluding UK)","All","35","5"," "
"2019","All","Northern Ireland","All","300","50","0.17"
"2020","All","Northern Ireland","All","215","35","0.167"
"2021","All","Northern Ireland","All","350","55","0.163"
"2022","All","Northern Ireland","All","260","80","0.304"
"2023","All","Northern Ireland","All","155","30","0.194"
"2019","All","England","All","355","95","0.268"
"2020","All","England","All","295","80","0.278"
"2021","All","England","All","500","125","0.246"
"2022","All","England","All","540","170","0.315"
"2023","All","England","All","395","170","0.425"
"2019","All","Scotland","All","15145","3460","0.229"
