"Year","UK region","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","70","60","0.8190000000000001","0"
"2013","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","105","80","0.769","0"
"2014","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","100","75","0.745","0"
"2015","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","95","75","0.792","0"
"2016","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","90","60","0.705","0"
"2017","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","105","85","0.8290000000000001","0"
"2018","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","100","75","0.75","0"
"2019","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","75","60","0.773","0"
"2020","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","120","105","0.877","0"
"2021","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","80","60","0.741","0"
"2022","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","120","85","0.714","0"
"2023","All","17 and under","All","Female","Main scheme applicant","Not main scheme application","120","85","0.6970000000000001","0"
"2006","All","18","All","Female","Main scheme applicant","Not main scheme application","9975","9375","0.9400000000000001","0"
"2007","All","18","All","Female","Main scheme applicant","Not main scheme application","10175","9560","0.9400000000000001","0"
"2008","All","18","All","Female","Main scheme applicant","Not main scheme application","11515","10750","0.933","0"
"2009","All","18","All","Female","Main scheme applicant","Not main scheme application","13320","11805","0.886","0"
"2010","All","18","All","Female","Main scheme applicant","Not main scheme application","14650","12335","0.842","0"
"2011","All","18","All","Female","Main scheme applicant","Not main scheme application","17825","14835","0.8320000000000001","0"
"2012","All","18","All","Female","Main scheme applicant","Not main scheme application","16425","14230","0.866","0"
"2013","All","18","All","Female","Main scheme applicant","Not main scheme application","15830","13905","0.878","0"
"2014","All","18","All","Female","Main scheme applicant","Not main scheme application","17240","15085","0.875","0"
"2015","All","18","All","Female","Main scheme applicant","Not main scheme application","18310","16205","0.885","0"
"2016","All","18","All","Female","Main scheme applicant","Not main scheme application","19315","17105","0.886","0"
"2017","All","18","All","Female","Main scheme applicant","Not main scheme application","19290","17530","0.909","0"
"2018","All","18","All","Female","Main scheme applicant","Not main scheme application","19110","17560","0.919","0"
"2019","All","18","All","Female","Main scheme applicant","Not main scheme application","21015","19375","0.922","0"
"2020","All","18","All","Female","Main scheme applicant","Not main scheme application","22220","20900","0.9410000000000001","0"
"2021","All","18","All","Female","Main scheme applicant","Not main scheme application","17235","15600","0.905","0"
"2022","All","18","All","Female","Main scheme applicant","Not main scheme application","23305","20880","0.896","0"
"2023","All","18","All","Female","Main scheme applicant","Not main scheme application","24400","22285","0.913","0"
"2006","All","19","All","Female","Main scheme applicant","Not main scheme application","2990","2790","0.933","0"
"2007","All","19","All","Female","Main scheme applicant","Not main scheme application","3545","3310","0.934","0"
"2008","All","19","All","Female","Main scheme applicant","Not main scheme application","4135","3815","0.923","0"
"2009","All","19","All","Female","Main scheme applicant","Not main scheme application","4885","4145","0.849","0"
"2010","All","19","All","Female","Main scheme applicant","Not main scheme application","5905","4745","0.803","0"
"2011","All","19","All","Female","Main scheme applicant","Not main scheme application","7120","5565","0.782","0"
"2012","All","19","All","Female","Main scheme applicant","Not main scheme application","6425","5360","0.834","0"
"2013","All","19","All","Female","Main scheme applicant","Not main scheme application","6500","5525","0.85","0"
"2014","All","19","All","Female","Main scheme applicant","Not main scheme application","7185","6125","0.853","0"
"2015","All","19","All","Female","Main scheme applicant","Not main scheme application","7185","6310","0.878","0"
"2016","All","19","All","Female","Main scheme applicant","Not main scheme application","7125","6155","0.864","0"
"2017","All","19","All","Female","Main scheme applicant","Not main scheme application","6105","5455","0.893","0"
"2018","All","19","All","Female","Main scheme applicant","Not main scheme application","5650","5070","0.898","0"
"2019","All","19","All","Female","Main scheme applicant","Not main scheme application","5725","5195","0.908","0"
"2020","All","19","All","Female","Main scheme applicant","Not main scheme application","5470","4995","0.914","0"
"2021","All","19","All","Female","Main scheme applicant","Not main scheme application","4705","4120","0.876","0"
"2022","All","19","All","Female","Main scheme applicant","Not main scheme application","5170","4400","0.851","0"
"2023","All","19","All","Female","Main scheme applicant","Not main scheme application","5545","4800","0.865","0"
"2006","All","20","All","Female","Main scheme applicant","Not main scheme application","1085","985","0.904","0"
"2007","All","20","All","Female","Main scheme applicant","Not main scheme application","1180","1055","0.893","0"
"2008","All","20","All","Female","Main scheme applicant","Not main scheme application","1575","1395","0.888","0"
"2009","All","20","All","Female","Main scheme applicant","Not main scheme application","1785","1375","0.771","0"
"2010","All","20","All","Female","Main scheme applicant","Not main scheme application","2200","1555","0.707","0"
"2011","All","20","All","Female","Main scheme applicant","Not main scheme application","2595","1770","0.682","0"
"2012","All","20","All","Female","Main scheme applicant","Not main scheme application","2465","1795","0.729","0"
"2013","All","20","All","Female","Main scheme applicant","Not main scheme application","2270","1710","0.754","0"
"2014","All","20","All","Female","Main scheme applicant","Not main scheme application","2485","1870","0.752","0"
"2015","All","20","All","Female","Main scheme applicant","Not main scheme application","2400","1845","0.769","0"
"2016","All","20","All","Female","Main scheme applicant","Not main scheme application","2265","1750","0.773","0"
"2017","All","20","All","Female","Main scheme applicant","Not main scheme application","2050","1630","0.794","0"
"2018","All","20","All","Female","Main scheme applicant","Not main scheme application","1675","1385","0.8270000000000001","0"
