"Year","Parental responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Has parental responsibility","20","England","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Main scheme applicant","Not main scheme application","25","20","0.778","0"
"2023","Not declared","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Does not have parental responsibility","21 - 24","Northern Ireland","Male","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2023","Does not have parental responsibility","21 - 24","England","Male","Main scheme applicant","Not main scheme application","1165","915","0.787","0"
"2023","Does not have parental responsibility","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","120","85","0.6940000000000001","0"
"2023","Does not have parental responsibility","21 - 24","Wales","Male","Main scheme applicant","Not main scheme application","40","30","0.8160000000000001","0"
"2023","Has parental responsibility","21 - 24","England","Male","Main scheme applicant","Not main scheme application","30","20","0.714","0"
"2023","Has parental responsibility","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","25 - 29","England","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Does not have parental responsibility","25 - 29","Northern Ireland","Male","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Does not have parental responsibility","25 - 29","England","Male","Main scheme applicant","Not main scheme application","325","230","0.712","0"
"2023","Does not have parental responsibility","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","50","35","0.667","0"
"2023","Does not have parental responsibility","25 - 29","Wales","Male","Main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2023","Has parental responsibility","25 - 29","England","Male","Main scheme applicant","Not main scheme application","45","35","0.791","0"
"2023","Has parental responsibility","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
