"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","965","560","0.584","0"
"2019","Male","21 - 24","Scotland","Main scheme applicant","Main scheme application","430","185","0.427","0"
"2020","Male","21 - 24","Scotland","Main scheme applicant","Main scheme application","410","175","0.427","0"
"2021","Male","21 - 24","Scotland","Main scheme applicant","Main scheme application","535","200","0.371","0"
"2022","Male","21 - 24","Scotland","Main scheme applicant","Main scheme application","405","155","0.381","0"
"2023","Male","21 - 24","Scotland","Main scheme applicant","Main scheme application","325","160","0.488","0"
"2019","Female","25 - 29","Scotland","Main scheme applicant","Main scheme application","950","515","0.545","0"
"2020","Female","25 - 29","Scotland","Main scheme applicant","Main scheme application","895","475","0.533","0"
"2021","Female","25 - 29","Scotland","Main scheme applicant","Main scheme application","1145","530","0.464","0"
"2022","Female","25 - 29","Scotland","Main scheme applicant","Main scheme application","765","425","0.555","0"
"2023","Female","25 - 29","Scotland","Main scheme applicant","Main scheme application","550","300","0.542","0"
"2019","Male","25 - 29","Scotland","Main scheme applicant","Main scheme application","375","170","0.446","0"
"2020","Male","25 - 29","Scotland","Main scheme applicant","Main scheme application","430","205","0.47400000000000003","0"
"2021","Male","25 - 29","Scotland","Main scheme applicant","Main scheme application","505","190","0.38","0"
"2022","Male","25 - 29","Scotland","Main scheme applicant","Main scheme application","360","170","0.467","0"
"2023","Male","25 - 29","Scotland","Main scheme applicant","Main scheme application","290","155","0.528","0"
"2019","Female","30 - 34","Scotland","Main scheme applicant","Main scheme application","410","185","0.448","0"
"2020","Female","30 - 34","Scotland","Main scheme applicant","Main scheme application","435","235","0.543","0"
"2021","Female","30 - 34","Scotland","Main scheme applicant","Main scheme application","485","185","0.386","0"
"2022","Female","30 - 34","Scotland","Main scheme applicant","Main scheme application","310","170","0.549","0"
"2023","Female","30 - 34","Scotland","Main scheme applicant","Main scheme application","255","145","0.5710000000000001","0"
"2019","Male","30 - 34","Scotland","Main scheme applicant","Main scheme application","195","95","0.482","0"
"2020","Male","30 - 34","Scotland","Main scheme applicant","Main scheme application","195","90","0.447","0"
"2021","Male","30 - 34","Scotland","Main scheme applicant","Main scheme application","235","95","0.40700000000000003","0"
"2022","Male","30 - 34","Scotland","Main scheme applicant","Main scheme application","200","100","0.495","0"
"2023","Male","30 - 34","Scotland","Main scheme applicant","Main scheme application","130","60","0.446","0"
"2019","Female","35 and over","Scotland","Main scheme applicant","Main scheme application","760","325","0.426","0"
"2020","Female","35 and over","Scotland","Main scheme applicant","Main scheme application","835","385","0.461","0"
"2021","Female","35 and over","Scotland","Main scheme applicant","Main scheme application","875","335","0.382","0"
"2022","Female","35 and over","Scotland","Main scheme applicant","Main scheme application","595","300","0.5","0"
"2023","Female","35 and over","Scotland","Main scheme applicant","Main scheme application","515","275","0.538","0"
"2019","Male","35 and over","Scotland","Main scheme applicant","Main scheme application","320","145","0.449","0"
"2020","Male","35 and over","Scotland","Main scheme applicant","Main scheme application","310","135","0.437","0"
"2021","Male","35 and over","Scotland","Main scheme applicant","Main scheme application","350","120","0.34","0"
"2022","Male","35 and over","Scotland","Main scheme applicant","Main scheme application","245","105","0.426","0"
"2023","Male","35 and over","Scotland","Main scheme applicant","Main scheme application","180","80","0.461","0"
"2020","Female","18","Wales","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Female","18","Wales","Main scheme applicant","Main scheme application","15","0"," ","0"
"2022","Male","18","Wales","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","18","Wales","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","20","Wales","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","Female","21 - 24","Wales","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Female","21 - 24","Wales","Main scheme applicant","Main scheme application","485","355","0.731","0"
