"Year","Predicted SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","11 point(s)","Quintile 1","All","All","5","0"," ","0"
"2019","11 point(s)","Quintile 1","All","All","5","0"," ","0"
"2021","11 point(s)","Quintile 1","All","All","5","0"," ","0"
"2010","12 point(s)","Quintile 1","All","All","5","5"," ","0"
"2014","12 point(s)","Quintile 1","All","All","5","0"," ","0"
"2015","12 point(s)","Quintile 1","All","All","5","5"," ","0"
"2022","12 point(s)","Quintile 1","All","All","5","0"," ","0"
"2023","12 point(s)","Quintile 1","All","All","5","0"," ","0"
"2010","13 point(s)","Quintile 1","All","All","5","0"," ","0"
"2012","13 point(s)","Quintile 1","All","All","5","5"," ","0"
"2013","13 point(s)","Quintile 1","All","All","5","0"," ","0"
"2014","13 point(s)","Quintile 1","All","All","5","0"," ","0"
"2015","13 point(s)","Quintile 1","All","All","5","0"," ","0"
"2016","13 point(s)","Quintile 1","All","All","5","0"," ","0"
"2017","13 point(s)","Quintile 1","All","All","5","5"," ","0"
"2018","13 point(s)","Quintile 1","All","All","5","0"," ","0"
"2019","13 point(s)","Quintile 1","All","All","5","0"," ","0"
"2020","13 point(s)","Quintile 1","All","All","5","5"," ","0"
"2011","14 point(s)","Quintile 1","All","All","5","5"," ","0"
"2013","14 point(s)","Quintile 1","All","All","5","5"," ","0"
"2014","14 point(s)","Quintile 1","All","All","5","5"," ","0"
"2015","14 point(s)","Quintile 1","All","All","15","10"," ","0"
"2016","14 point(s)","Quintile 1","All","All","5","5"," ","0"
"2017","14 point(s)","Quintile 1","All","All","10","5"," ","0"
"2018","14 point(s)","Quintile 1","All","All","5","5"," ","0"
"2019","14 point(s)","Quintile 1","All","All","5","5"," ","0"
"2020","14 point(s)","Quintile 1","All","All","10","5"," ","0"
"2021","14 point(s)","Quintile 1","All","All","5","5"," ","0"
"2022","14 point(s)","Quintile 1","All","All","5","0"," ","0"
"2023","14 point(s)","Quintile 1","All","All","5","0"," ","0"
"2010","15 point(s)","Quintile 1","All","All","5","5"," ","0"
"2011","15 point(s)","Quintile 1","All","All","5","0"," ","0"
"2013","15 point(s)","Quintile 1","All","All","5","0"," ","0"
"2014","15 point(s)","Quintile 1","All","All","5","5"," ","0"
"2015","15 point(s)","Quintile 1","All","All","10","5"," ","0"
"2016","15 point(s)","Quintile 1","All","All","5","5"," ","0"
"2017","15 point(s)","Quintile 1","All","All","5","5"," ","0"
"2018","15 point(s)","Quintile 1","All","All","5","5"," ","0"
"2019","15 point(s)","Quintile 1","All","All","10","5"," ","0"
"2020","15 point(s)","Quintile 1","All","All","5","5"," ","0"
"2021","15 point(s)","Quintile 1","All","All","5","5"," ","0"
"2023","15 point(s)","Quintile 1","All","All","10","5"," ","0"
"2014","16 point(s)","Quintile 1","All","All","5","0"," ","0"
"2015","16 point(s)","Quintile 1","All","All","10","5"," ","0"
"2016","16 point(s)","Quintile 1","All","All","5","5"," ","0"
"2017","16 point(s)","Quintile 1","All","All","5","5"," ","0"
"2020","16 point(s)","Quintile 1","All","All","5","5"," ","0"
"2021","16 point(s)","Quintile 1","All","All","5","5"," ","0"
"2022","16 point(s)","Quintile 1","All","All","5","5"," ","0"
"2023","16 point(s)","Quintile 1","All","All","5","5"," ","0"
"2010","17 point(s)","Quintile 1","All","All","5","5"," ","0"
"2013","17 point(s)","Quintile 1","All","All","5","5"," ","0"
"2014","17 point(s)","Quintile 1","All","All","5","5"," ","0"
"2015","17 point(s)","Quintile 1","All","All","5","5"," ","0"
"2017","17 point(s)","Quintile 1","All","All","5","5"," ","0"
"2018","17 point(s)","Quintile 1","All","All","5","0"," ","0"
"2019","17 point(s)","Quintile 1","All","All","5","5"," ","0"
"2020","17 point(s)","Quintile 1","All","All","5","0"," ","0"
"2021","17 point(s)","Quintile 1","All","All","5","5"," ","0"
"2023","17 point(s)","Quintile 1","All","All","5","5"," ","0"
"2010","18 point(s)","Quintile 1","All","All","5","5"," ","0"
"2014","18 point(s)","Quintile 1","All","All","5","5"," ","0"
"2015","18 point(s)","Quintile 1","All","All","5","5"," ","0"
"2018","18 point(s)","Quintile 1","All","All","5","5"," ","0"
"2019","18 point(s)","Quintile 1","All","All","10","5"," ","0"
"2021","18 point(s)","Quintile 1","All","All","5","5"," ","0"
