"Year","Predicted A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","9 point(s)","All","All","Not main scheme application","2010","1705","0.849","5"
"2012","9 point(s)","All","All","Not main scheme application","1650","1460","0.887","5"
"2013","9 point(s)","All","All","Not main scheme application","1295","1165","0.901","5"
"2014","9 point(s)","All","All","Not main scheme application","1230","1115","0.907","5"
"2015","9 point(s)","All","All","Not main scheme application","1245","1160","0.93","0"
"2016","9 point(s)","All","All","Not main scheme application","1175","1080","0.917","0"
"2017","9 point(s)","All","All","Not main scheme application","1105","1015","0.919","5"
"2018","9 point(s)","All","All","Not main scheme application","950","895","0.9430000000000001","5"
"2019","9 point(s)","All","All","Not main scheme application","1035","970","0.935","0"
"2020","9 point(s)","All","All","Not main scheme application","1055","1010","0.9560000000000001","5"
"2021","9 point(s)","All","All","Not main scheme application","930","875","0.9380000000000001","0"
"2022","9 point(s)","All","All","Not main scheme application","1105","1015","0.92","0"
"2023","9 point(s)","All","All","Not main scheme application","1035","950","0.918","5"
"2010","10 point(s)","All","All","Not main scheme application","2005","1765","0.879","0"
"2011","10 point(s)","All","All","Not main scheme application","2425","2125","0.876","10"
"2012","10 point(s)","All","All","Not main scheme application","2030","1815","0.895","5"
"2013","10 point(s)","All","All","Not main scheme application","1655","1535","0.926","5"
"2014","10 point(s)","All","All","Not main scheme application","1830","1650","0.902","5"
"2015","10 point(s)","All","All","Not main scheme application","1760","1645","0.934","0"
"2016","10 point(s)","All","All","Not main scheme application","1725","1605","0.93","0"
"2017","10 point(s)","All","All","Not main scheme application","1585","1500","0.9470000000000001","0"
"2018","10 point(s)","All","All","Not main scheme application","1405","1320","0.9380000000000001","5"
"2019","10 point(s)","All","All","Not main scheme application","1455","1360","0.934","0"
"2020","10 point(s)","All","All","Not main scheme application","1485","1420","0.9540000000000001","10"
"2021","10 point(s)","All","All","Not main scheme application","1355","1285","0.9470000000000001","5"
"2022","10 point(s)","All","All","Not main scheme application","1565","1460","0.934","0"
"2023","10 point(s)","All","All","Not main scheme application","1490","1385","0.927","0"
"2010","11 point(s)","All","All","Not main scheme application","2195","1975","0.899","0"
"2011","11 point(s)","All","All","Not main scheme application","2730","2450","0.897","5"
"2012","11 point(s)","All","All","Not main scheme application","2370","2155","0.91","5"
"2013","11 point(s)","All","All","Not main scheme application","2235","2055","0.919","0"
"2014","11 point(s)","All","All","Not main scheme application","2270","2095","0.924","0"
"2015","11 point(s)","All","All","Not main scheme application","2350","2190","0.931","0"
"2016","11 point(s)","All","All","Not main scheme application","2450","2270","0.926","0"
"2017","11 point(s)","All","All","Not main scheme application","2280","2150","0.9440000000000001","0"
"2018","11 point(s)","All","All","Not main scheme application","2015","1885","0.936","0"
"2019","11 point(s)","All","All","Not main scheme application","2075","1965","0.9460000000000001","5"
"2020","11 point(s)","All","All","Not main scheme application","2185","2110","0.964","15"
"2021","11 point(s)","All","All","Not main scheme application","1900","1795","0.9460000000000001","5"
"2022","11 point(s)","All","All","Not main scheme application","2050","1910","0.932","5"
"2023","11 point(s)","All","All","Not main scheme application","2165","2015","0.929","5"
"2010","12 point(s)","All","All","Not main scheme application","2610","2375","0.908","5"
"2011","12 point(s)","All","All","Not main scheme application","3185","2910","0.914","5"
"2012","12 point(s)","All","All","Not main scheme application","2835","2640","0.931","5"
"2013","12 point(s)","All","All","Not main scheme application","2820","2590","0.918","0"
"2014","12 point(s)","All","All","Not main scheme application","3100","2900","0.936","5"
"2015","12 point(s)","All","All","Not main scheme application","3165","2975","0.9410000000000001","5"
"2016","12 point(s)","All","All","Not main scheme application","3370","3125","0.928","0"
"2017","12 point(s)","All","All","Not main scheme application","3320","3125","0.9410000000000001","5"
"2018","12 point(s)","All","All","Not main scheme application","3230","3085","0.9560000000000001","0"
"2019","12 point(s)","All","All","Not main scheme application","3365","3175","0.9440000000000001","0"
"2020","12 point(s)","All","All","Not main scheme application","3635","3505","0.964","10"
"2021","12 point(s)","All","All","Not main scheme application","2785","2645","0.9490000000000001","0"
"2022","12 point(s)","All","All","Not main scheme application","2990","2790","0.932","0"
"2023","12 point(s)","All","All","Not main scheme application","3110","2920","0.9380000000000001","5"
"2010","13 point(s)","All","All","Not main scheme application","2525","2335","0.925","5"
"2011","13 point(s)","All","All","Not main scheme application","3150","2885","0.916","5"
"2012","13 point(s)","All","All","Not main scheme application","3005","2805","0.934","0"
"2013","13 point(s)","All","All","Not main scheme application","2930","2745","0.9380000000000001","0"
"2014","13 point(s)","All","All","Not main scheme application","3695","3435","0.93","0"
"2015","13 point(s)","All","All","Not main scheme application","3885","3640","0.937","5"
"2016","13 point(s)","All","All","Not main scheme application","4055","3815","0.9410000000000001","0"
"2017","13 point(s)","All","All","Not main scheme application","4285","4040","0.9430000000000001","0"
"2018","13 point(s)","All","All","Not main scheme application","3995","3800","0.9520000000000001","5"
"2019","13 point(s)","All","All","Not main scheme application","4190","3995","0.9530000000000001","5"
"2020","13 point(s)","All","All","Not main scheme application","4735","4560","0.963","5"
"2021","13 point(s)","All","All","Not main scheme application","3075","2930","0.9520000000000001","5"
"2022","13 point(s)","All","All","Not main scheme application","3570","3365","0.9430000000000001","5"
"2023","13 point(s)","All","All","Not main scheme application","3890","3685","0.9470000000000001","0"
"2010","14 point(s)","All","All","Not main scheme application","2170","2000","0.92","0"
"2011","14 point(s)","All","All","Not main scheme application","2610","2425","0.929","0"
"2012","14 point(s)","All","All","Not main scheme application","2645","2505","0.9470000000000001","0"
"2013","14 point(s)","All","All","Not main scheme application","2535","2380","0.9390000000000001","0"
"2014","14 point(s)","All","All","Not main scheme application","3235","3045","0.9410000000000001","0"
"2015","14 point(s)","All","All","Not main scheme application","3270","3090","0.9450000000000001","0"
"2016","14 point(s)","All","All","Not main scheme application","3850","3630","0.9420000000000001","0"
