"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2014","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","790","580","0.737"
"2015","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","670","435","0.65"
"2016","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","655","465","0.709"
"2017","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","620","415","0.668"
"2018","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","550","375","0.686"
"2019","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","570","380","0.665"
"2020","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","545","405","0.744"
"2021","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","505","325","0.644"
"2022","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","645","380","0.588"
"2023","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","645","355","0.552"
"2006","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","10","10"," "
"2007","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","10","10"," "
"2008","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","15","10","0.75"
"2009","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","20","10","0.579"
"2010","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001"
"2011","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","10","10"," "
"2012","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","20","20","1"
"2013","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","15","10","0.857"
"2014","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","40","20","0.579"
"2015","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","15","15","0.882"
"2016","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","30","5"," "
"2017","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","25","10","0.47800000000000004"
"2018","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","30","10","0.34500000000000003"
"2019","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","30","5"," "
"2020","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","25","15","0.5"
"2021","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","30","15","0.5"
"2022","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","25","15","0.577"
"2023","Deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","25","15","0.542"
"2006","Not deferred","21 - 24","Not EU","All","Main scheme applicant","Not main scheme application","510","455","0.892"
"2007","Not deferred","21 - 24","Not EU","All","Main scheme applicant","Not main scheme application","435","375","0.862"
"2008","Not deferred","21 - 24","Not EU","All","Main scheme applicant","Not main scheme application","500","420","0.839"
