"Year","Difference between predicted and achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","All","Asian","Main scheme applicant","All","23325","20320","0.871","0"
"2019","All","Asian","Main scheme applicant","All","25585","22120","0.865","0"
"2020","All","Asian","Main scheme applicant","All","27450","23970","0.873","0"
"2021","All","Asian","Main scheme applicant","All","30500","26440","0.867","0"
"2022","All","Asian","Main scheme applicant","All","32950","27485","0.834","0"
"2023","All","Asian","Main scheme applicant","All","35130","29150","0.8300000000000001","0"
"2010","All","Mixed","Main scheme applicant","All","5670","4605","0.812","0"
"2011","All","Mixed","Main scheme applicant","All","6255","5295","0.846","0"
"2012","All","Mixed","Main scheme applicant","All","6105","5150","0.844","0"
"2013","All","Mixed","Main scheme applicant","All","6390","5465","0.856","0"
"2014","All","Mixed","Main scheme applicant","All","6630","5755","0.868","0"
"2015","All","Mixed","Main scheme applicant","All","7265","6395","0.88","0"
"2016","All","Mixed","Main scheme applicant","All","7565","6610","0.874","0"
"2017","All","Mixed","Main scheme applicant","All","8140","7115","0.874","0"
"2018","All","Mixed","Main scheme applicant","All","8185","7150","0.873","0"
"2019","All","Mixed","Main scheme applicant","All","8690","7570","0.871","0"
"2020","All","Mixed","Main scheme applicant","All","9140","8295","0.907","0"
"2021","All","Mixed","Main scheme applicant","All","10325","9180","0.889","0"
"2022","All","Mixed","Main scheme applicant","All","11555","9885","0.855","0"
"2023","All","Mixed","Main scheme applicant","All","12150","10305","0.848","0"
"2010","All","Other","Main scheme applicant","All","1475","1235","0.836","0"
"2011","All","Other","Main scheme applicant","All","1580","1375","0.869","0"
"2012","All","Other","Main scheme applicant","All","1795","1510","0.843","0"
"2013","All","Other","Main scheme applicant","All","1795","1530","0.852","0"
"2014","All","Other","Main scheme applicant","All","2020","1720","0.85","0"
"2015","All","Other","Main scheme applicant","All","2120","1825","0.861","0"
"2016","All","Other","Main scheme applicant","All","2230","1925","0.865","0"
"2017","All","Other","Main scheme applicant","All","2550","2240","0.878","0"
"2018","All","Other","Main scheme applicant","All","2730","2335","0.856","0"
"2019","All","Other","Main scheme applicant","All","3155","2755","0.873","0"
"2020","All","Other","Main scheme applicant","All","3365","2970","0.882","0"
"2021","All","Other","Main scheme applicant","All","3805","3295","0.866","0"
"2022","All","Other","Main scheme applicant","All","4505","3760","0.834","0"
"2023","All","Other","Main scheme applicant","All","4965","4140","0.834","0"
"2010","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1155","940","0.8140000000000001","0"
"2011","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1055","865","0.8220000000000001","0"
"2012","All","Unknown or Prefer Not To Say","Main scheme applicant","All","945","770","0.812","0"
"2013","All","Unknown or Prefer Not To Say","Main scheme applicant","All","810","685","0.845","0"
"2014","All","Unknown or Prefer Not To Say","Main scheme applicant","All","775","635","0.8150000000000001","0"
"2015","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1095","935","0.853","0"
"2016","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1150","985","0.854","0"
"2017","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1135","985","0.869","0"
"2018","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1245","1060","0.852","0"
"2019","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1250","1065","0.852","0"
"2020","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1330","1150","0.865","0"
"2021","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1500","1280","0.853","0"
"2022","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1435","1155","0.803","0"
"2023","All","Unknown or Prefer Not To Say","Main scheme applicant","All","1440","1180","0.8200000000000001","0"
"2010","0 points","All","Not main scheme applicant","All","5","5"," ","0"
"2011","0 points","All","Not main scheme applicant","All","10","10","0.909","0"
"2012","0 points","All","Not main scheme applicant","All","5","5"," ","5"
"2013","0 points","All","Not main scheme applicant","All","10","10"," ","0"
"2014","0 points","All","Not main scheme applicant","All","5","5"," ","0"
"2015","0 points","All","Not main scheme applicant","All","10","5"," ","0"
"2016","0 points","All","Not main scheme applicant","All","15","15","0.929","0"
"2017","0 points","All","Not main scheme applicant","All","10","10"," ","5"
"2018","0 points","All","Not main scheme applicant","All","15","15","1","0"
"2019","0 points","All","Not main scheme applicant","All","30","30","0.933","5"
"2020","0 points","All","Not main scheme applicant","All","120","120","0.992","30"
"2021","0 points","All","Not main scheme applicant","All","50","45","0.9580000000000001","15"
"2022","0 points","All","Not main scheme applicant","All","25","20","0.9570000000000001","5"
"2023","0 points","All","Not main scheme applicant","All","25","20","0.9570000000000001","5"
"2011","1 points","All","Not main scheme applicant","All","5","5"," ","0"
"2012","1 points","All","Not main scheme applicant","All","5","5"," ","0"
"2013","1 points","All","Not main scheme applicant","All","5","5"," ","0"
"2015","1 points","All","Not main scheme applicant","All","5","5"," ","0"
"2016","1 points","All","Not main scheme applicant","All","5","5"," ","0"
"2019","1 points","All","Not main scheme applicant","All","10","10"," ","0"
"2020","1 points","All","Not main scheme applicant","All","50","50","0.981","10"
"2021","1 points","All","Not main scheme applicant","All","5","5"," ","0"
"2022","1 points","All","Not main scheme applicant","All","5","5"," ","5"
"2023","1 points","All","Not main scheme applicant","All","5","5"," ","0"
"2015","2 points","All","Not main scheme applicant","All","5","5"," ","0"
"2017","2 points","All","Not main scheme applicant","All","5","5"," ","0"
"2018","2 points","All","Not main scheme applicant","All","5","5"," ","0"
"2020","2 points","All","Not main scheme applicant","All","10","10","0.917","5"
"2021","2 points","All","Not main scheme applicant","All","5","5"," ","0"
"2020","3 points","All","Not main scheme applicant","All","10","10","0.833","0"
"2018","More than 3 points","All","Not main scheme applicant","All","5","5"," ","0"
"2010","-1 points","All","Not main scheme applicant","All","10","10"," ","5"
"2011","-1 points","All","Not main scheme applicant","All","15","15","0.933","5"
"2012","-1 points","All","Not main scheme applicant","All","10","10","0.917","5"
"2013","-1 points","All","Not main scheme applicant","All","15","15","0.9380000000000001","0"
"2014","-1 points","All","Not main scheme applicant","All","5","5"," ","0"
"2015","-1 points","All","Not main scheme applicant","All","10","10","1","5"
"2016","-1 points","All","Not main scheme applicant","All","10","10","1","0"
"2017","-1 points","All","Not main scheme applicant","All","15","15","1","0"
"2018","-1 points","All","Not main scheme applicant","All","10","10"," ","5"
"2019","-1 points","All","Not main scheme applicant","All","25","25","0.926","5"
"2020","-1 points","All","Not main scheme applicant","All","80","75","0.9490000000000001","15"
"2021","-1 points","All","Not main scheme applicant","All","15","15","1","5"
"2022","-1 points","All","Not main scheme applicant","All","10","10","1","5"
"2023","-1 points","All","Not main scheme applicant","All","15","15","1","0"
"2010","-2 points","All","Not main scheme applicant","All","5","5"," ","5"
"2011","-2 points","All","Not main scheme applicant","All","10","10","1","5"
"2012","-2 points","All","Not main scheme applicant","All","10","10"," ","0"
"2013","-2 points","All","Not main scheme applicant","All","10","10","0.909","5"
"2014","-2 points","All","Not main scheme applicant","All","5","5"," ","0"
"2015","-2 points","All","Not main scheme applicant","All","5","5"," ","0"
"2016","-2 points","All","Not main scheme applicant","All","10","10","1","0"
"2017","-2 points","All","Not main scheme applicant","All","10","10"," ","5"
"2018","-2 points","All","Not main scheme applicant","All","10","10","1","0"
"2019","-2 points","All","Not main scheme applicant","All","20","20","0.9520000000000001","0"
"2020","-2 points","All","Not main scheme applicant","All","45","40","0.977","10"
"2021","-2 points","All","Not main scheme applicant","All","10","10"," ","5"
"2022","-2 points","All","Not main scheme applicant","All","10","10","1","5"
"2023","-2 points","All","Not main scheme applicant","All","15","15","1","5"
"2010","-3 points","All","Not main scheme applicant","All","5","5"," ","5"
"2011","-3 points","All","Not main scheme applicant","All","10","10"," ","5"
"2012","-3 points","All","Not main scheme applicant","All","5","5"," ","5"
"2013","-3 points","All","Not main scheme applicant","All","10","10","1","0"
"2014","-3 points","All","Not main scheme applicant","All","5","5"," ","0"
"2015","-3 points","All","Not main scheme applicant","All","5","5"," ","0"
"2016","-3 points","All","Not main scheme applicant","All","5","5"," ","5"
"2017","-3 points","All","Not main scheme applicant","All","10","10"," ","0"
"2018","-3 points","All","Not main scheme applicant","All","10","10","1","5"
"2019","-3 points","All","Not main scheme applicant","All","15","15","1","0"
"2020","-3 points","All","Not main scheme applicant","All","20","20","0.9550000000000001","5"
"2021","-3 points","All","Not main scheme applicant","All","5","5"," ","5"
"2022","-3 points","All","Not main scheme applicant","All","20","20","1","5"
"2023","-3 points","All","Not main scheme applicant","All","15","15","0.867","5"
"2010","-4 points","All","Not main scheme applicant","All","5","5"," ","0"
"2011","-4 points","All","Not main scheme applicant","All","5","5"," ","0"
"2012","-4 points","All","Not main scheme applicant","All","5","5"," ","5"
"2013","-4 points","All","Not main scheme applicant","All","5","5"," ","5"
"2014","-4 points","All","Not main scheme applicant","All","5","5"," ","0"
"2015","-4 points","All","Not main scheme applicant","All","5","5"," ","0"
"2016","-4 points","All","Not main scheme applicant","All","5","5"," ","0"
"2017","-4 points","All","Not main scheme applicant","All","5","5"," ","0"
"2018","-4 points","All","Not main scheme applicant","All","5","5"," ","0"
"2019","-4 points","All","Not main scheme applicant","All","10","10"," ","0"
"2020","-4 points","All","Not main scheme applicant","All","15","15","0.933","5"
"2021","-4 points","All","Not main scheme applicant","All","10","10"," ","0"
"2022","-4 points","All","Not main scheme applicant","All","5","5"," ","0"
"2023","-4 points","All","Not main scheme applicant","All","10","10","0.909","5"
"2010","-5 points","All","Not main scheme applicant","All","0","0"," ","5"
"2011","-5 points","All","Not main scheme applicant","All","5","5"," ","0"
"2012","-5 points","All","Not main scheme applicant","All","5","5"," ","0"
"2013","-5 points","All","Not main scheme applicant","All","5","5"," ","0"
"2015","-5 points","All","Not main scheme applicant","All","5","5"," ","0"
"2016","-5 points","All","Not main scheme applicant","All","5","5"," ","0"
"2017","-5 points","All","Not main scheme applicant","All","10","10"," ","0"
"2019","-5 points","All","Not main scheme applicant","All","5","5"," ","0"
"2020","-5 points","All","Not main scheme applicant","All","10","10"," ","0"
"2022","-5 points","All","Not main scheme applicant","All","10","5"," ","0"
"2023","-5 points","All","Not main scheme applicant","All","10","10"," ","5"
"2011","-6 points","All","Not main scheme applicant","All","5","5"," ","0"
"2012","-6 points","All","Not main scheme applicant","All","5","0"," ","0"
"2013","-6 points","All","Not main scheme applicant","All","5","5"," ","0"
"2015","-6 points","All","Not main scheme applicant","All","0","0"," ","5"
"2017","-6 points","All","Not main scheme applicant","All","5","5"," ","0"
"2018","-6 points","All","Not main scheme applicant","All","5","5"," ","0"
"2020","-6 points","All","Not main scheme applicant","All","5","5"," ","0"
"2023","-6 points","All","Not main scheme applicant","All","5","5"," ","0"
"2010","Less than -6 points","All","Not main scheme applicant","All","20","15","0.895","10"
"2011","Less than -6 points","All","Not main scheme applicant","All","30","25","0.931","20"
