"Year","MEM quintile","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2009","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","78070","0"
"2009","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","77760","0"
"2010","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","40000","0"
"2010","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","51220","0"
"2010","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","57360","0"
"2010","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","78170","0"
"2010","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","78770","0"
"2011","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","39000","0"
"2011","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","49480","0"
"2011","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","56120","0"
"2011","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","77630","0"
"2011","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","77160","0"
"2012","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","38370","0"
"2012","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","48400","0"
"2012","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","55890","0"
"2012","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","78630","0.001"
"2012","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","78460","0.001"
"2013","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","37910","0"
"2013","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","47180","0"
"2013","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","54920","0"
"2013","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","77090","0.001"
