"Year","Achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","9 point(s)","White","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2019","9 point(s)","White","Main scheme applicant","Not main scheme application","20","10"," ","0"
"2020","9 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","9 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","White","Main scheme applicant","Not main scheme application","20","10","0.526","0"
"2010","10 point(s)","White","Main scheme applicant","Not main scheme application","45","40","0.9530000000000001","0"
"2011","10 point(s)","White","Main scheme applicant","Not main scheme application","35","25","0.722","0"
"2012","10 point(s)","White","Main scheme applicant","Not main scheme application","25","15","0.68","0"
"2013","10 point(s)","White","Main scheme applicant","Not main scheme application","40","30","0.737","0"
"2014","10 point(s)","White","Main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2015","10 point(s)","White","Main scheme applicant","Not main scheme application","30","10","0.367","0"
"2016","10 point(s)","White","Main scheme applicant","Not main scheme application","25","5"," ","0"
"2017","10 point(s)","White","Main scheme applicant","Not main scheme application","25","10","0.458","0"
"2018","10 point(s)","White","Main scheme applicant","Not main scheme application","25","20","0.72","0"
"2019","10 point(s)","White","Main scheme applicant","Not main scheme application","40","25","0.605","0"
"2020","10 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.833","0"
"2021","10 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","10 point(s)","White","Main scheme applicant","Not main scheme application","20","15","0.722","0"
"2023","10 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.8","0"
"2010","11 point(s)","White","Main scheme applicant","Not main scheme application","95","85","0.914","0"
"2011","11 point(s)","White","Main scheme applicant","Not main scheme application","65","50","0.785","0"
"2012","11 point(s)","White","Main scheme applicant","Not main scheme application","50","40","0.784","0"
"2013","11 point(s)","White","Main scheme applicant","Not main scheme application","40","30","0.7000000000000001","0"
"2014","11 point(s)","White","Main scheme applicant","Not main scheme application","60","40","0.639","0"
"2015","11 point(s)","White","Main scheme applicant","Not main scheme application","75","40","0.539","0"
"2016","11 point(s)","White","Main scheme applicant","Not main scheme application","40","20","0.525","0"
"2017","11 point(s)","White","Main scheme applicant","Not main scheme application","40","30","0.718","0"
"2018","11 point(s)","White","Main scheme applicant","Not main scheme application","40","30","0.718","0"
"2019","11 point(s)","White","Main scheme applicant","Not main scheme application","40","20","0.55","0"
"2020","11 point(s)","White","Main scheme applicant","Not main scheme application","50","40","0.833","0"
"2021","11 point(s)","White","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2022","11 point(s)","White","Main scheme applicant","Not main scheme application","40","25","0.711","0"
"2023","11 point(s)","White","Main scheme applicant","Not main scheme application","45","35","0.8140000000000001","0"
"2010","12 point(s)","White","Main scheme applicant","Not main scheme application","130","120","0.916","0"
"2011","12 point(s)","White","Main scheme applicant","Not main scheme application","80","60","0.772","0"
"2012","12 point(s)","White","Main scheme applicant","Not main scheme application","80","55","0.6910000000000001","0"
"2013","12 point(s)","White","Main scheme applicant","Not main scheme application","80","65","0.808","0"
"2014","12 point(s)","White","Main scheme applicant","Not main scheme application","90","60","0.67","0"
"2015","12 point(s)","White","Main scheme applicant","Not main scheme application","90","60","0.656","0"
"2016","12 point(s)","White","Main scheme applicant","Not main scheme application","90","65","0.719","0"
"2017","12 point(s)","White","Main scheme applicant","Not main scheme application","75","45","0.644","0"
"2018","12 point(s)","White","Main scheme applicant","Not main scheme application","55","40","0.737","0"
"2019","12 point(s)","White","Main scheme applicant","Not main scheme application","55","40","0.719","0"
"2020","12 point(s)","White","Main scheme applicant","Not main scheme application","65","50","0.8250000000000001","0"
"2021","12 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.8240000000000001","0"
"2022","12 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.742","0"
"2023","12 point(s)","White","Main scheme applicant","Not main scheme application","45","40","0.933","0"
