"Year","Achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","3 point(s)","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","3 point(s)","All","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","3 point(s)","All","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","3 point(s)","All","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","3 point(s)","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","3 point(s)","All","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2010","4 point(s)","All","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2011","4 point(s)","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","4 point(s)","All","Main scheme applicant","Main scheme application","15","10","0.714","0"
"2013","4 point(s)","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","4 point(s)","All","Main scheme applicant","Main scheme application","10","10"," ","0"
"2015","4 point(s)","All","Main scheme applicant","Main scheme application","10","10","1","0"
"2016","4 point(s)","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","4 point(s)","All","Main scheme applicant","Main scheme application","20","15","0.833","0"
"2018","4 point(s)","All","Main scheme applicant","Main scheme application","10","10","1","0"
"2019","4 point(s)","All","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2020","4 point(s)","All","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","4 point(s)","All","Main scheme applicant","Main scheme application","10","10"," ","0"
"2022","4 point(s)","All","Main scheme applicant","Main scheme application","30","25","0.929","0"
"2023","4 point(s)","All","Main scheme applicant","Main scheme application","50","45","0.9390000000000001","0"
"2010","5 point(s)","All","Main scheme applicant","Main scheme application","30","20","0.733","0"
"2011","5 point(s)","All","Main scheme applicant","Main scheme application","35","30","0.9410000000000001","0"
"2012","5 point(s)","All","Main scheme applicant","Main scheme application","35","25","0.75","0"
"2013","5 point(s)","All","Main scheme applicant","Main scheme application","30","30","0.906","0"
"2014","5 point(s)","All","Main scheme applicant","Main scheme application","35","30","0.889","0"
"2015","5 point(s)","All","Main scheme applicant","Main scheme application","40","30","0.789","0"
"2016","5 point(s)","All","Main scheme applicant","Main scheme application","30","25","0.839","0"
"2017","5 point(s)","All","Main scheme applicant","Main scheme application","35","30","0.757","0"
"2018","5 point(s)","All","Main scheme applicant","Main scheme application","40","35","0.85","0"
"2019","5 point(s)","All","Main scheme applicant","Main scheme application","50","40","0.857","0"
"2020","5 point(s)","All","Main scheme applicant","Main scheme application","25","20","0.769","0"
"2021","5 point(s)","All","Main scheme applicant","Main scheme application","25","20","0.769","0"
"2022","5 point(s)","All","Main scheme applicant","Main scheme application","65","55","0.889","0"
"2023","5 point(s)","All","Main scheme applicant","Main scheme application","85","75","0.884","0"
"2010","6 point(s)","All","Main scheme applicant","Main scheme application","70","65","0.887","0"
"2011","6 point(s)","All","Main scheme applicant","Main scheme application","60","50","0.8","0"
"2012","6 point(s)","All","Main scheme applicant","Main scheme application","75","65","0.855","0"
"2013","6 point(s)","All","Main scheme applicant","Main scheme application","70","60","0.833","0"
"2014","6 point(s)","All","Main scheme applicant","Main scheme application","80","70","0.887","0"
"2015","6 point(s)","All","Main scheme applicant","Main scheme application","75","60","0.795","0"
"2016","6 point(s)","All","Main scheme applicant","Main scheme application","70","65","0.9","0"
"2017","6 point(s)","All","Main scheme applicant","Main scheme application","80","70","0.873","0"
"2018","6 point(s)","All","Main scheme applicant","Main scheme application","85","70","0.8260000000000001","0"
"2019","6 point(s)","All","Main scheme applicant","Main scheme application","85","75","0.871","0"
"2020","6 point(s)","All","Main scheme applicant","Main scheme application","55","45","0.836","0"
"2021","6 point(s)","All","Main scheme applicant","Main scheme application","45","40","0.907","0"
"2022","6 point(s)","All","Main scheme applicant","Main scheme application","120","100","0.803","0"
"2023","6 point(s)","All","Main scheme applicant","Main scheme application","120","105","0.891","0"
"2010","7 point(s)","All","Main scheme applicant","Main scheme application","100","90","0.902","0"
"2011","7 point(s)","All","Main scheme applicant","Main scheme application","120","110","0.9","0"
"2012","7 point(s)","All","Main scheme applicant","Main scheme application","130","100","0.773","0"
"2013","7 point(s)","All","Main scheme applicant","Main scheme application","115","100","0.86","0"
"2014","7 point(s)","All","Main scheme applicant","Main scheme application","130","115","0.884","0"
"2015","7 point(s)","All","Main scheme applicant","Main scheme application","140","125","0.872","0"
