"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2023","International","Not EU","United Arab Emirates","17 and under","Female","5","0","0"
"2020","International","Not EU","Egypt","17 and under","Female","5","0","0"
"2021","International","Not EU","Egypt","17 and under","Female","5","5","5"
"2021","International","Not EU","United States of America","17 and under","Female","5","0","0"
"2022","International","Not EU","United States of America","17 and under","Female","5","0","0"
"2023","International","Not EU","Kazakhstan","17 and under","Female","5","0","0"
"2020","UK","England","England","18","Female","4870","2185","1570"
"2021","UK","England","England","18","Female","3625","1935","1490"
"2022","UK","England","England","18","Female","2505","1255","960"
"2023","UK","England","England","18","Female","4905","2320","1660"
"2020","UK","Northern Ireland","Northern Ireland","18","Female","150","70","60"
"2021","UK","Northern Ireland","Northern Ireland","18","Female","135","65","55"
"2022","UK","Northern Ireland","Northern Ireland","18","Female","75","50","35"
"2023","UK","Northern Ireland","Northern Ireland","18","Female","90","25","20"
"2020","UK","Scotland","Scotland","18","Female","245","105","75"
"2021","UK","Scotland","Scotland","18","Female","165","65","50"
"2022","UK","Scotland","Scotland","18","Female","110","35","30"
"2023","UK","Scotland","Scotland","18","Female","305","115","100"
"2020","UK","Wales","Wales","18","Female","140","75","55"
"2021","UK","Wales","Wales","18","Female","115","65","50"
"2022","UK","Wales","Wales","18","Female","85","55","45"
"2023","UK","Wales","Wales","18","Female","165","85","65"
"2021","International","EU (excluding UK)","Austria","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Belgium","18","Female","5","0","0"
"2021","International","EU (excluding UK)","Belgium","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Belgium","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Bulgaria","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Finland","18","Female","5","0","0"
"2020","International","EU (excluding UK)","France","18","Female","10","5","5"
"2021","International","EU (excluding UK)","France","18","Female","5","5","5"
"2022","International","EU (excluding UK)","France","18","Female","5","0","0"
"2023","International","EU (excluding UK)","France","18","Female","5","5","5"
"2020","International","EU (excluding UK)","Germany","18","Female","5","0","0"
"2021","International","EU (excluding UK)","Germany","18","Female","5","5","5"
"2022","International","EU (excluding UK)","Germany","18","Female","5","5","0"
"2023","International","EU (excluding UK)","Germany","18","Female","5","5","5"
"2020","International","EU (excluding UK)","Greece","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Greece","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Ireland","18","Female","35","5","0"
"2021","International","EU (excluding UK)","Ireland","18","Female","25","5","0"
"2022","International","EU (excluding UK)","Ireland","18","Female","20","0","0"
"2023","International","EU (excluding UK)","Ireland","18","Female","40","5","5"
"2020","International","EU (excluding UK)","Italy","18","Female","10","5","0"
"2021","International","EU (excluding UK)","Italy","18","Female","5","0","0"
"2022","International","EU (excluding UK)","Italy","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Italy","18","Female","10","0","0"
"2020","International","EU (excluding UK)","Netherlands","18","Female","10","5","5"
"2022","International","EU (excluding UK)","Netherlands","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Netherlands","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Poland","18","Female","10","5","0"
"2020","International","EU (excluding UK)","Portugal","18","Female","5","5","0"
"2021","International","EU (excluding UK)","Portugal","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Romania","18","Female","5","5","5"
"2021","International","EU (excluding UK)","Romania","18","Female","5","0","0"
"2022","International","EU (excluding UK)","Romania","18","Female","5","5","0"
"2020","International","EU (excluding UK)","Spain","18","Female","20","10","5"
"2021","International","EU (excluding UK)","Spain","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Spain","18","Female","10","5","0"
"2020","International","EU (excluding UK)","Sweden","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Czech Republic","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Cyprus (European Union)","18","Female","10","5","5"
"2021","International","EU (excluding UK)","Cyprus (European Union)","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Cyprus (European Union)","18","Female","5","5","0"
"2022","International","Not EU","Guernsey","18","Female","5","0","0"
"2020","International","Not EU","Jersey","18","Female","5","0","0"
"2023","International","Not EU","Jersey","18","Female","5","0","0"
"2020","International","Not EU","Isle of Man","18","Female","5","0","0"
"2022","International","Not EU","Isle of Man","18","Female","5","5","0"
"2023","International","Not EU","Albania","18","Female","5","0","0"
"2020","International","Not EU","Bahrain","18","Female","5","0","0"
"2022","International","Not EU","Bahrain","18","Female","5","0","0"
"2023","International","Not EU","Bahrain","18","Female","5","0","0"
"2022","International","Not EU","Bermuda","18","Female","5","0","0"
"2021","International","Not EU","Brazil","18","Female","5","0","0"
"2022","International","Not EU","Burma (Myanmar)","18","Female","5","0","0"
"2021","International","Not EU","Canada","18","Female","5","0","0"
"2023","International","Not EU","Canada","18","Female","5","0","0"
"2020","International","Not EU","China","18","Female","90","20","5"
"2021","International","Not EU","China","18","Female","30","10","5"
"2022","International","Not EU","China","18","Female","20","5","5"
"2023","International","Not EU","China","18","Female","45","15","10"
"2022","International","Not EU","Ghana","18","Female","5","0","0"
