"Year","Subject group HECoS","Detailed subject group HECoS","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","England","15","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","England","30","10"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","England","60","20","0.35000000000000003"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","England","25","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","England","15","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","Scotland","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","Scotland","5","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","Wales","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","Northern Ireland","5","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","Northern Ireland","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","England","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","England","10","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","England","20","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","England","10","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","England","15","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","Wales","5","0"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Unknown","Wales","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","England","10","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","England","10","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","England","25","10"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","England","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","Scotland","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","Wales","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","Wales","5","0"," "
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","England","15","15","0.855"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","England","10","10","1.061"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","England","5","5"," "
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","England","5","5"," "
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","England","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","Unknown","England","5","0"," "
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","Unknown","England","5","5"," "
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","Unknown","England","5","5"," "
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","Northern Ireland","5","0"," "
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","England","25","20","0.833"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","England","20","20","0.887"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","England","15","15","0.9"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","England","10","10"," "
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","England","15","10"," "
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","Scotland","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","Scotland","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","Wales","5","0"," "
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","England","20","15","0.742"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","England","15","10"," "
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","England","10","10"," "
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","England","5","0"," "
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","England","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","Scotland","5","0"," "
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","Scotland","5","5"," "
