"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","(CAH09) mathematical sciences","(CAH09-01-02) operational research","All","No impairment","115","100","0.889"
"2022","(CAH09) mathematical sciences","(CAH09-01-02) operational research","All","No impairment","100","90","0.897"
"2023","(CAH09) mathematical sciences","(CAH09-01-02) operational research","All","No impairment","135","120","0.905"
"2019","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","No impairment","1185","900","0.76"
"2020","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","No impairment","1270","990","0.781"
"2021","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","No impairment","1605","1175","0.733"
"2022","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","No impairment","1695","1105","0.651"
"2023","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","No impairment","1770","1070","0.606"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","All","No impairment","21060","17400","0.8260000000000001"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","All","No impairment","19170","15535","0.81"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","All","No impairment","20045","16430","0.8200000000000001"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","All","No impairment","19985","16115","0.806"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","All","No impairment","16265","13320","0.8190000000000001"
"2019","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","No impairment","42010","17250","0.41100000000000003"
"2020","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","No impairment","41275","17840","0.432"
"2021","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","No impairment","47660","21325","0.447"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","No impairment","43455","19735","0.454"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","No impairment","33215","15450","0.465"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","No impairment","230","215","0.927"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","No impairment","255","235","0.929"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","No impairment","265","245","0.925"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","No impairment","275","255","0.927"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","No impairment","235","225","0.96"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","No impairment","405","355","0.88"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","No impairment","355","315","0.887"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","No impairment","365","335","0.922"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","No impairment","360","335","0.925"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","No impairment","350","325","0.923"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","No impairment","3855","3340","0.866"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","No impairment","4135","3595","0.869"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","No impairment","4390","3900","0.889"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","No impairment","4565","4075","0.893"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","No impairment","3775","3370","0.893"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","No impairment","6070","5525","0.91"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","No impairment","6025","5340","0.886"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","No impairment","6710","6105","0.91"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","No impairment","6340","5785","0.912"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","No impairment","4975","4580","0.921"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","No impairment","120","110","0.896"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","No impairment","135","120","0.898"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","No impairment","160","140","0.878"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","No impairment","170","145","0.845"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","No impairment","125","110","0.884"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","No impairment","245","200","0.811"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","No impairment","220","180","0.81"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","No impairment","255","200","0.786"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","No impairment","240","200","0.835"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","No impairment","180","155","0.857"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","No impairment","595","480","0.809"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","No impairment","730","635","0.867"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","No impairment","790","685","0.867"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","No impairment","755","635","0.843"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","No impairment","605","510","0.843"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","No impairment","400","365","0.913"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","No impairment","260","230","0.881"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","No impairment","270","240","0.889"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","No impairment","285","230","0.8130000000000001"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","No impairment","215","185","0.867"
"2019","(CAH16) law","(CAH16-01-01) law","All","No impairment","93055","75100","0.807"
"2020","(CAH16) law","(CAH16-01-01) law","All","No impairment","94830","77670","0.8190000000000001"
"2021","(CAH16) law","(CAH16-01-01) law","All","No impairment","101960","80625","0.791"
"2022","(CAH16) law","(CAH16-01-01) law","All","No impairment","105455","77375","0.734"
"2023","(CAH16) law","(CAH16-01-01) law","All","No impairment","99790","74490","0.746"
"2019","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","No impairment","7435","2475","0.333"
"2020","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","No impairment","6845","2760","0.403"
"2021","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","No impairment","8120","2520","0.31"
"2022","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","No impairment","8060","2185","0.271"
"2023","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","No impairment","7565","2295","0.303"
"2019","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","No impairment","3860","1865","0.484"
"2020","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","No impairment","3090","1650","0.533"
"2021","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","No impairment","4015","2125","0.53"
"2022","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","No impairment","3710","1825","0.492"
"2023","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","No impairment","2495","1530","0.614"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Social/behavioural/communication impairment","785","445","0.5660000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Social/behavioural/communication impairment","940","565","0.604"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Social/behavioural/communication impairment","1185","785","0.664"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Social/behavioural/communication impairment","1490","930","0.623"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Social/behavioural/communication impairment","1695","1045","0.618"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Social/behavioural/communication impairment","645","430","0.663"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Social/behavioural/communication impairment","845","555","0.659"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Social/behavioural/communication impairment","980","690","0.706"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Social/behavioural/communication impairment","1200","770","0.642"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Social/behavioural/communication impairment","1255","785","0.624"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Social/behavioural/communication impairment","975","665","0.683"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Social/behavioural/communication impairment","1120","770","0.6880000000000001"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Social/behavioural/communication impairment","1235","890","0.721"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Social/behavioural/communication impairment","1620","1080","0.667"
