"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","White","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","White","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","White","19","England","Female","Main scheme applicant","Not main scheme application","25","15","0.739"
"2020","White","19","England","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2021","White","19","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2022","White","19","England","Female","Main scheme applicant","Not main scheme application","25","10","0.47800000000000004"
"2023","White","19","England","Female","Main scheme applicant","Not main scheme application","30","20","0.7000000000000001"
"2019","White","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","White","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","White","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","19","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","White","19","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","White","19","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Black","19","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Black","19","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Black","19","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2022","Black","19","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Black","19","England","Female","Main scheme applicant","Not main scheme application","20","10","0.667"
"2019","Asian","19","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Asian","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Asian","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Asian","19","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Asian","19","England","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2020","Mixed","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Mixed","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Mixed","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Other","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Other","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","White","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","20","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2020","White","20","England","Female","Main scheme applicant","Not main scheme application","15","10","0.769"
"2021","White","20","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2022","White","20","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2023","White","20","England","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2021","White","20","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","White","20","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Black","20","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Black","20","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Black","20","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Black","20","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Black","20","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2019","Asian","20","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Asian","20","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Asian","20","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Asian","20","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Mixed","20","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","21 - 24","England","Female","Main scheme applicant","Not main scheme application","40","20","0.55"
"2020","White","21 - 24","England","Female","Main scheme applicant","Not main scheme application","25","15","0.609"
"2021","White","21 - 24","England","Female","Main scheme applicant","Not main scheme application","35","20","0.486"
"2022","White","21 - 24","England","Female","Main scheme applicant","Not main scheme application","35","15","0.394"
"2023","White","21 - 24","England","Female","Main scheme applicant","Not main scheme application","20","10","0.545"
"2019","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
