"Year","Difference between predicted and achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","1 points","All","All","Not main scheme application","355","330","0.935","0"
"2021","1 points","All","All","Not main scheme application","430","375","0.879","0"
"2022","1 points","All","All","Not main scheme application","435","390","0.89","0"
"2023","1 points","All","All","Not main scheme application","385","345","0.894","0"
"2010","2 points","All","All","Not main scheme application","95","70","0.723","0"
"2011","2 points","All","All","Not main scheme application","160","125","0.788","0"
"2012","2 points","All","All","Not main scheme application","180","140","0.769","0"
"2013","2 points","All","All","Not main scheme application","195","150","0.788","0"
"2014","2 points","All","All","Not main scheme application","185","155","0.8320000000000001","0"
"2015","2 points","All","All","Not main scheme application","245","200","0.8230000000000001","0"
"2016","2 points","All","All","Not main scheme application","225","180","0.804","0"
"2017","2 points","All","All","Not main scheme application","180","150","0.854","0"
"2018","2 points","All","All","Not main scheme application","195","180","0.9380000000000001","0"
"2019","2 points","All","All","Not main scheme application","145","135","0.911","0"
"2020","2 points","All","All","Not main scheme application","200","185","0.935","0"
"2021","2 points","All","All","Not main scheme application","230","200","0.869","0"
"2022","2 points","All","All","Not main scheme application","240","205","0.862","0"
"2023","2 points","All","All","Not main scheme application","170","155","0.917","0"
"2010","3 points","All","All","Not main scheme application","35","25","0.667","0"
"2011","3 points","All","All","Not main scheme application","65","50","0.794","0"
"2012","3 points","All","All","Not main scheme application","180","145","0.786","0"
"2013","3 points","All","All","Not main scheme application","200","155","0.773","0"
"2014","3 points","All","All","Not main scheme application","190","155","0.8150000000000001","0"
"2015","3 points","All","All","Not main scheme application","185","150","0.81","0"
"2016","3 points","All","All","Not main scheme application","160","135","0.839","0"
"2017","3 points","All","All","Not main scheme application","115","105","0.888","0"
"2018","3 points","All","All","Not main scheme application","70","60","0.857","0"
"2019","3 points","All","All","Not main scheme application","55","45","0.852","0"
"2020","3 points","All","All","Not main scheme application","70","65","0.875","0"
"2021","3 points","All","All","Not main scheme application","120","110","0.924","0"
"2022","3 points","All","All","Not main scheme application","85","75","0.884","0"
"2023","3 points","All","All","Not main scheme application","70","65","0.971","0"
"2010","More than 3 points","All","All","Not main scheme application","5","5"," ","0"
"2011","More than 3 points","All","All","Not main scheme application","15","15","0.867","0"
"2012","More than 3 points","All","All","Not main scheme application","60","45","0.754","0"
"2013","More than 3 points","All","All","Not main scheme application","60","50","0.806","0"
"2014","More than 3 points","All","All","Not main scheme application","55","45","0.811","0"
"2015","More than 3 points","All","All","Not main scheme application","55","50","0.873","0"
"2016","More than 3 points","All","All","Not main scheme application","55","45","0.768","0"
"2017","More than 3 points","All","All","Not main scheme application","50","40","0.8200000000000001","0"
"2018","More than 3 points","All","All","Not main scheme application","20","15","0.9440000000000001","0"
"2019","More than 3 points","All","All","Not main scheme application","10","5"," ","0"
"2020","More than 3 points","All","All","Not main scheme application","20","20","0.857","0"
"2021","More than 3 points","All","All","Not main scheme application","30","30","0.968","0"
"2022","More than 3 points","All","All","Not main scheme application","25","20","0.917","0"
"2023","More than 3 points","All","All","Not main scheme application","15","15","0.929","0"
"2010","-1 points","All","All","Not main scheme application","185","130","0.71","0"
"2011","-1 points","All","All","Not main scheme application","245","165","0.679","0"
"2012","-1 points","All","All","Not main scheme application","255","190","0.753","0"
"2013","-1 points","All","All","Not main scheme application","265","220","0.8310000000000001","0"
"2014","-1 points","All","All","Not main scheme application","330","270","0.8180000000000001","5"
"2015","-1 points","All","All","Not main scheme application","380","315","0.8320000000000001","5"
"2016","-1 points","All","All","Not main scheme application","380","320","0.839","5"
"2017","-1 points","All","All","Not main scheme application","300","260","0.864","0"
"2018","-1 points","All","All","Not main scheme application","260","235","0.889","0"
"2019","-1 points","All","All","Not main scheme application","340","315","0.935","0"
"2020","-1 points","All","All","Not main scheme application","325","285","0.877","0"
"2021","-1 points","All","All","Not main scheme application","420","375","0.902","0"
"2022","-1 points","All","All","Not main scheme application","480","430","0.897","0"
"2023","-1 points","All","All","Not main scheme application","465","420","0.899","0"
"2010","-2 points","All","All","Not main scheme application","110","80","0.709","0"
"2011","-2 points","All","All","Not main scheme application","130","95","0.71","0"
"2012","-2 points","All","All","Not main scheme application","160","115","0.736","5"
"2013","-2 points","All","All","Not main scheme application","175","135","0.777","0"
"2014","-2 points","All","All","Not main scheme application","210","180","0.849","0"
"2015","-2 points","All","All","Not main scheme application","250","215","0.849","0"
"2016","-2 points","All","All","Not main scheme application","235","205","0.872","0"
"2017","-2 points","All","All","Not main scheme application","165","145","0.873","5"
"2018","-2 points","All","All","Not main scheme application","180","165","0.906","0"
"2019","-2 points","All","All","Not main scheme application","215","195","0.902","5"
"2020","-2 points","All","All","Not main scheme application","205","185","0.906","0"
"2021","-2 points","All","All","Not main scheme application","250","225","0.908","0"
"2022","-2 points","All","All","Not main scheme application","310","265","0.858","0"
"2023","-2 points","All","All","Not main scheme application","305","280","0.925","0"
"2010","-3 points","All","All","Not main scheme application","50","40","0.731","0"
"2011","-3 points","All","All","Not main scheme application","85","55","0.643","0"
"2012","-3 points","All","All","Not main scheme application","105","90","0.84","0"
"2013","-3 points","All","All","Not main scheme application","120","95","0.805","0"
"2014","-3 points","All","All","Not main scheme application","135","115","0.8320000000000001","5"
"2015","-3 points","All","All","Not main scheme application","160","135","0.862","5"
"2016","-3 points","All","All","Not main scheme application","135","110","0.812","5"
"2017","-3 points","All","All","Not main scheme application","105","90","0.856","0"
"2018","-3 points","All","All","Not main scheme application","110","95","0.857","0"
"2019","-3 points","All","All","Not main scheme application","115","100","0.876","0"
"2020","-3 points","All","All","Not main scheme application","130","115","0.87","0"
"2021","-3 points","All","All","Not main scheme application","165","150","0.91","0"
"2022","-3 points","All","All","Not main scheme application","180","150","0.8230000000000001","0"
"2023","-3 points","All","All","Not main scheme application","155","135","0.876","0"
"2010","-4 points","All","All","Not main scheme application","35","25","0.771","0"
"2011","-4 points","All","All","Not main scheme application","50","35","0.74","0"
"2012","-4 points","All","All","Not main scheme application","85","60","0.747","0"
"2013","-4 points","All","All","Not main scheme application","75","65","0.867","0"
"2014","-4 points","All","All","Not main scheme application","100","80","0.8","0"
"2015","-4 points","All","All","Not main scheme application","120","90","0.771","0"
"2016","-4 points","All","All","Not main scheme application","80","70","0.866","0"
"2017","-4 points","All","All","Not main scheme application","70","65","0.928","0"
"2018","-4 points","All","All","Not main scheme application","70","60","0.861","0"
"2019","-4 points","All","All","Not main scheme application","75","65","0.857","5"
"2020","-4 points","All","All","Not main scheme application","85","75","0.917","0"
"2021","-4 points","All","All","Not main scheme application","105","95","0.924","0"
"2022","-4 points","All","All","Not main scheme application","110","85","0.782","5"
"2023","-4 points","All","All","Not main scheme application","80","65","0.802","0"
"2010","-5 points","All","All","Not main scheme application","10","5"," ","0"
"2011","-5 points","All","All","Not main scheme application","30","20","0.724","0"
"2012","-5 points","All","All","Not main scheme application","35","25","0.75","0"
"2013","-5 points","All","All","Not main scheme application","40","35","0.846","0"
"2014","-5 points","All","All","Not main scheme application","60","50","0.836","0"
"2015","-5 points","All","All","Not main scheme application","60","50","0.8","5"
"2016","-5 points","All","All","Not main scheme application","40","30","0.732","0"
"2017","-5 points","All","All","Not main scheme application","45","35","0.791","0"
"2018","-5 points","All","All","Not main scheme application","45","35","0.8180000000000001","0"
"2019","-5 points","All","All","Not main scheme application","40","35","0.857","0"
"2020","-5 points","All","All","Not main scheme application","35","35","1","5"
"2021","-5 points","All","All","Not main scheme application","40","30","0.842","5"
"2022","-5 points","All","All","Not main scheme application","60","45","0.758","0"
"2023","-5 points","All","All","Not main scheme application","70","60","0.845","0"
"2010","-6 points","All","All","Not main scheme application","10","5"," ","0"
"2011","-6 points","All","All","Not main scheme application","20","15","0.762","0"
"2012","-6 points","All","All","Not main scheme application","25","20","0.769","0"
"2013","-6 points","All","All","Not main scheme application","25","25","0.926","0"
