"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","30","25","0.781","0"
"2019","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.865","0"
"2020","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.811","0"
"2021","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","45","35","0.75","0"
"2022","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","50","40","0.769","0"
"2023","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","40","30","0.737","0"
"2010","7 points (DDD)","All","England","Male","Main scheme applicant","All","3820","3255","0.853","0"
"2011","7 points (DDD)","All","England","Male","Main scheme applicant","All","4425","3900","0.882","0"
"2012","7 points (DDD)","All","England","Male","Main scheme applicant","All","1170","1040","0.886","0"
"2013","7 points (DDD)","All","England","Male","Main scheme applicant","All","1210","1070","0.884","0"
"2014","7 points (DDD)","All","England","Male","Main scheme applicant","All","1380","1220","0.881","0"
"2015","7 points (DDD)","All","England","Male","Main scheme applicant","All","1415","1270","0.899","0"
"2016","7 points (DDD)","All","England","Male","Main scheme applicant","All","1250","1125","0.899","0"
"2017","7 points (DDD)","All","England","Male","Main scheme applicant","All","1225","1070","0.874","0"
"2018","7 points (DDD)","All","England","Male","Main scheme applicant","All","1195","1070","0.894","0"
"2019","7 points (DDD)","All","England","Male","Main scheme applicant","All","1205","1065","0.886","0"
"2020","7 points (DDD)","All","England","Male","Main scheme applicant","All","1135","1020","0.898","0"
"2021","7 points (DDD)","All","England","Male","Main scheme applicant","All","1445","1260","0.875","0"
"2022","7 points (DDD)","All","England","Male","Main scheme applicant","All","1450","1210","0.836","0"
"2023","7 points (DDD)","All","England","Male","Main scheme applicant","All","1420","1215","0.858","0"
"2010","7 points (DDD)","All","Scotland","Male","Main scheme applicant","All","5","5"," ","0"
