"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2023","Quintile 4","35 and over","Scotland","Female","10","5","0"
"2020","Quintile 4","35 and over","Wales","Female","5","5","0"
"2021","Quintile 4","35 and over","Wales","Female","5","0","0"
"2023","Quintile 4","35 and over","Wales","Female","5","5","0"
"2020","Quintile 5","35 and over","Northern Ireland","Female","5","0","0"
"2020","Quintile 5","35 and over","England","Female","110","40","35"
"2021","Quintile 5","35 and over","England","Female","85","20","15"
"2022","Quintile 5","35 and over","England","Female","85","25","20"
"2023","Quintile 5","35 and over","England","Female","90","30","25"
"2020","Quintile 5","35 and over","Scotland","Female","20","5","5"
"2021","Quintile 5","35 and over","Scotland","Female","10","5","5"
"2022","Quintile 5","35 and over","Scotland","Female","15","5","0"
"2023","Quintile 5","35 and over","Scotland","Female","5","0","0"
"2020","Quintile 5","35 and over","Wales","Female","5","0","0"
"2021","Quintile 5","35 and over","Wales","Female","5","5","0"
"2022","Quintile 5","35 and over","Wales","Female","5","0","0"
"2022","Quintile 1","17 and under","England","Male","5","0","0"
"2020","Quintile 2","17 and under","England","Male","5","0","0"
