"Year","POLAR4 Quintile","Age group","Domicile","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2023","Quintile 3","21 - 24","Northern Ireland","Female","5","5","5"
"2019","Quintile 3","21 - 24","England","Female","85","60","50"
"2020","Quintile 3","21 - 24","England","Female","110","80","80"
"2021","Quintile 3","21 - 24","England","Female","100","65","60"
"2022","Quintile 3","21 - 24","England","Female","105","70","65"
"2023","Quintile 3","21 - 24","England","Female","95","65","60"
"2019","Quintile 3","21 - 24","Scotland","Female","5","0","0"
"2020","Quintile 3","21 - 24","Scotland","Female","10","0","0"
"2021","Quintile 3","21 - 24","Scotland","Female","15","5","5"
"2022","Quintile 3","21 - 24","Scotland","Female","10","5","5"
"2023","Quintile 3","21 - 24","Scotland","Female","15","10","10"
"2019","Quintile 3","21 - 24","Wales","Female","5","0","0"
"2021","Quintile 3","21 - 24","Wales","Female","5","0","0"
"2022","Quintile 3","21 - 24","Wales","Female","10","5","5"
"2023","Quintile 3","21 - 24","Wales","Female","5","0","0"
"2019","Quintile 4","21 - 24","Northern Ireland","Female","5","0","0"
"2021","Quintile 4","21 - 24","Northern Ireland","Female","10","5","5"
"2022","Quintile 4","21 - 24","Northern Ireland","Female","5","5","5"
"2023","Quintile 4","21 - 24","Northern Ireland","Female","10","5","0"
"2019","Quintile 4","21 - 24","England","Female","90","70","65"
"2020","Quintile 4","21 - 24","England","Female","135","90","90"
"2021","Quintile 4","21 - 24","England","Female","105","70","65"
"2022","Quintile 4","21 - 24","England","Female","125","70","65"
"2023","Quintile 4","21 - 24","England","Female","110","70","70"
"2019","Quintile 4","21 - 24","Scotland","Female","10","5","5"
"2020","Quintile 4","21 - 24","Scotland","Female","15","5","5"
"2021","Quintile 4","21 - 24","Scotland","Female","10","5","5"
"2022","Quintile 4","21 - 24","Scotland","Female","20","5","5"
"2023","Quintile 4","21 - 24","Scotland","Female","20","5","5"
"2019","Quintile 4","21 - 24","Wales","Female","5","0","0"
"2020","Quintile 4","21 - 24","Wales","Female","5","5","5"
"2022","Quintile 4","21 - 24","Wales","Female","5","0","0"
"2023","Quintile 4","21 - 24","Wales","Female","10","5","5"
"2019","Quintile 5","21 - 24","Northern Ireland","Female","10","0","0"
"2020","Quintile 5","21 - 24","Northern Ireland","Female","5","5","5"
"2021","Quintile 5","21 - 24","Northern Ireland","Female","5","5","5"
"2022","Quintile 5","21 - 24","Northern Ireland","Female","5","0","0"
"2023","Quintile 5","21 - 24","Northern Ireland","Female","5","5","5"
"2019","Quintile 5","21 - 24","England","Female","80","55","55"
"2020","Quintile 5","21 - 24","England","Female","130","80","75"
"2021","Quintile 5","21 - 24","England","Female","120","75","70"
"2022","Quintile 5","21 - 24","England","Female","120","75","70"
"2023","Quintile 5","21 - 24","England","Female","125","75","75"
"2019","Quintile 5","21 - 24","Scotland","Female","20","10","10"
"2020","Quintile 5","21 - 24","Scotland","Female","15","5","5"
"2021","Quintile 5","21 - 24","Scotland","Female","20","5","5"
"2022","Quintile 5","21 - 24","Scotland","Female","20","5","5"
"2023","Quintile 5","21 - 24","Scotland","Female","20","5","5"
"2021","Quintile 5","21 - 24","Wales","Female","5","5","5"
"2022","Quintile 5","21 - 24","Wales","Female","5","0","0"
"2023","Quintile 5","21 - 24","Wales","Female","5","0","0"
"2019","Quintile 1","25 - 29","England","Female","25","15","15"
"2020","Quintile 1","25 - 29","England","Female","35","25","25"
"2021","Quintile 1","25 - 29","England","Female","40","20","20"
"2022","Quintile 1","25 - 29","England","Female","40","15","15"
"2023","Quintile 1","25 - 29","England","Female","25","15","10"
"2020","Quintile 1","25 - 29","Scotland","Female","5","0","0"
"2022","Quintile 1","25 - 29","Scotland","Female","5","0","0"
"2023","Quintile 1","25 - 29","Scotland","Female","5","0","0"
"2020","Quintile 1","25 - 29","Wales","Female","5","5","5"
"2021","Quintile 1","25 - 29","Wales","Female","5","0","0"
"2022","Quintile 1","25 - 29","Wales","Female","5","0","0"
"2023","Quintile 1","25 - 29","Wales","Female","5","5","5"
"2019","Quintile 2","25 - 29","England","Female","25","20","20"
"2020","Quintile 2","25 - 29","England","Female","40","25","25"
"2021","Quintile 2","25 - 29","England","Female","40","20","20"
"2022","Quintile 2","25 - 29","England","Female","40","20","15"
"2023","Quintile 2","25 - 29","England","Female","45","25","20"
"2021","Quintile 2","25 - 29","Scotland","Female","5","0","0"
"2022","Quintile 2","25 - 29","Scotland","Female","5","0","0"
"2023","Quintile 2","25 - 29","Scotland","Female","5","0","0"
"2019","Quintile 2","25 - 29","Wales","Female","5","0","0"
"2021","Quintile 2","25 - 29","Wales","Female","5","0","0"
"2022","Quintile 2","25 - 29","Wales","Female","5","0","0"
"2023","Quintile 2","25 - 29","Wales","Female","5","0","0"
"2021","Quintile 3","25 - 29","Northern Ireland","Female","5","0","0"
"2019","Quintile 3","25 - 29","England","Female","20","15","15"
"2020","Quintile 3","25 - 29","England","Female","50","30","25"
"2021","Quintile 3","25 - 29","England","Female","50","30","25"
"2022","Quintile 3","25 - 29","England","Female","35","15","10"
"2023","Quintile 3","25 - 29","England","Female","40","20","15"
"2021","Quintile 3","25 - 29","Scotland","Female","10","0","0"
"2022","Quintile 3","25 - 29","Scotland","Female","10","0","0"
"2023","Quintile 3","25 - 29","Scotland","Female","15","5","5"
"2023","Quintile 3","25 - 29","Wales","Female","5","0","0"
"2021","Quintile 4","25 - 29","Northern Ireland","Female","5","0","0"
"2022","Quintile 4","25 - 29","Northern Ireland","Female","5","0","0"
"2019","Quintile 4","25 - 29","England","Female","25","20","20"
"2020","Quintile 4","25 - 29","England","Female","65","40","35"
"2021","Quintile 4","25 - 29","England","Female","35","15","15"
"2022","Quintile 4","25 - 29","England","Female","55","25","25"
"2023","Quintile 4","25 - 29","England","Female","35","25","20"
"2019","Quintile 4","25 - 29","Scotland","Female","5","0","0"
"2020","Quintile 4","25 - 29","Scotland","Female","10","5","5"
"2021","Quintile 4","25 - 29","Scotland","Female","10","0","0"
"2022","Quintile 4","25 - 29","Scotland","Female","10","0","0"
"2023","Quintile 4","25 - 29","Scotland","Female","10","5","5"
"2020","Quintile 4","25 - 29","Wales","Female","5","0","0"
"2022","Quintile 4","25 - 29","Wales","Female","5","0","0"
"2023","Quintile 4","25 - 29","Wales","Female","5","0","0"
"2020","Quintile 5","25 - 29","Northern Ireland","Female","5","0","0"
"2021","Quintile 5","25 - 29","Northern Ireland","Female","5","0","0"
"2022","Quintile 5","25 - 29","Northern Ireland","Female","5","0","0"
"2019","Quintile 5","25 - 29","England","Female","35","25","25"
